splice_id	gene	histology
UBAP2:33956079-33956146_33953284-33953474_33960825-33960878	UBAP2	ATRT
POLR2D:127850590-127850685_127843552-127848185_127852924-127853105	POLR2D	ATRT
PAQR6:156245142-156245238_156244689-156244911_156245534-156245661	PAQR6	ATRT
EGLN1:231367569-231368187_231365939-231366475_231370561-231370698	EGLN1	ATRT
BCAS3:61388618-61388708_61380505-61380571_61391976-61392273	BCAS3	ATRT
ABAT:8735699-8735809_8674616-8674711_8746000-8746025	ABAT	ATRT
HS1BP3:20640973-20641180_20634715-20638652_20645339-20645505	HS1BP3	ATRT
COPE:18903268-18903423_18900380-18900449_18904770-18904852	COPE	ATRT
GATD1:775066-775142_774007-774113_777398-777471	GATD1	ATRT
ACSL3:222887830-222887888_222860941-222861258_222908732-222909150	ACSL3	ATRT
TSR3:1349889-1349952_1349239-1349608_1350057-1350234	TSR3	ATRT
XPO6:28180941-28181031_28177219-28177332_28211365-28211869	XPO6	ATRT
TET2:105190360-105190505_105146785-105146979_105233896-105234272	TET2	ATRT
BTF3L4:52083340-52083541_52064824-52064938_52086111-52086171	BTF3L4	ATRT
LRP8:53276692-53277078_53271226-53275753_53280586-53280715	LRP8	ATRT
SOX2-OT:181715185-181715292_181610856-181610929_181739568-181739687	OT	ATRT
UBA3:69080112-69080153_69077338-69077918_69080333-69080363	UBA3	ATRT
SYTL2:85714413-85714507_85709330-85709500_85718789-85718843	SYTL2	ATRT
NCOA4:46016540-46016694_46015125-46015266_46030525-46030714	NCOA4	ATRT
MTA1:105466707-105466742_105465333-105466578_105469466-105469498	MTA1	ATRT
AC092329.4:23270218-23270292_23261619-23261744_23274075-23274196	4	ATRT
SDCCAG8:243293091-243293219_243286271-243286397_243304712-243304777	SDCCAG8	ATRT
ASH1L:155415744-155415923_155395458-155395553_155438326-155439068	ASH1L	ATRT
ARHGAP12:31839305-31839319_31831738-31831800_31839636-31839711	ARHGAP12	ATRT
MACF1:39381953-39382152_39380243-39380373_39385433-39385929	MACF1	ATRT
KEAP1:10489192-10489368_10486124-10486818_10489647-10489853	KEAP1	ATRT
PIP4K2B:38784243-38784339_38780451-38780604_38786822-38786920	PIP4K2B	ATRT
GUCD1:24554949-24555136_24548916-24549001_24555614-24555859	GUCD1	ATRT
DTX3:57605571-57605731_57604823-57604858_57605988-57606252	DTX3	ATRT
KIFC3:57760282-57760416_57759727-57759836_57760725-57760955	KIFC3	ATRT
ARID5A:96549321-96549459_96547401-96547517_96549752-96549805	ARID5A	ATRT
SLC4A7:27409356-27409530_27404829-27404963_27411641-27411748	SLC4A7	ATRT
SDR39U1:24441674-24441795_24440203-24440926_24442177-24442260	SDR39U1	ATRT
SDR39U1:24441678-24441795_24440782-24440926_24442177-24442260	SDR39U1	ATRT
RBM27:146251711-146251875_146237297-146237432_146254942-146255092	RBM27	ATRT
ABHD14B:51971460-51971892_51969942-51970184_51973964-51974031	ABHD14B	ATRT
PEAK1:77284958-77285078_77252366-77252526_77286422-77286504	PEAK1	ATRT
WDR19:39194544-39194659_39189655-39189781_39199477-39199593	WDR19	ATRT
AC019257.8:1880048-1880164_1876570-1876734_1882634-1882749	8	ATRT
ELMO2:46398697-46398771_46394404-46394532_46406547-46406559	ELMO2	ATRT
AGPAT3:43903957-43904019_43865222-43865345_43959633-43959859	AGPAT3	ATRT
IL17RC:9928580-9928630_9928304-9928486_9929851-9929880	IL17RC	ATRT
KHDRBS3:135606955-135607037_135581877-135582073_135645058-135645117	KHDRBS3	ATRT
ALKBH3:43892041-43892129_43889724-43889828_43901515-43901714	ALKBH3	ATRT
RHOU:228737673-228737731_228735478-228736004_228743284-228746664	RHOU	ATRT
CHMP3:86542252-86542312_86529217-86529397_86563303-86563374	CHMP3	ATRT
DMD:31126642-31126673_31119227-31121930_31134101-31134194	DMD	ATRT
SLC9B2:103057801-103057971_103050239-103050382_103066326-103066507	SLC9B2	ATRT
ZNF484:92875015-92875059_92856191-92856318_92877889-92878038	ZNF484	ATRT
PARD3:34284135-34284245_34269656-34269899_34317106-34317338	PARD3	ATRT
LTBP4:40622950-40623021_40619346-40619493_40623603-40623732	LTBP4	ATRT
KTN1:55667241-55667330_55661521-55661612_55670728-55670809	KTN1	ATRT
TMEM175:952367-952450_951645-951717_953189-953303	TMEM175	ATRT
ASB1:238435711-238436013_238433313-238433695_238444341-238444375	ASB1	ATRT
PIBF1:72783423-72783721_72782132-72782349_72792446-72792547	PIBF1	ATRT
FCHSD2:73015809-73015885_73000989-73001134_73083694-73083740	FCHSD2	ATRT
WASHC2C:45759315-45759401_45757009-45757139_45763387-45763489	WASHC2C	ATRT
FAM177A1:35053278-35053451_35046402-35046628_35077149-35077216	FAM177A1	ATRT
HSD17B14:48831668-48831759_48815036-48815141_48832665-48832732	HSD17B14	ATRT
TCF7L2:113158667-113158717_113158020-113158069_113159919-113159992	TCF7L2	ATRT
ITPRID2:181928161-181928278_181921947-181922412_181929560-181929784	ITPRID2	ATRT
MUC20-OT1:195689339-195689438_195688366-195688797_195696360-195696425	OT1	ATRT
ITGA9-AS1:37818680-37818930_37808495-37808880_37821013-37821100	AS1	ATRT
SPATA20:50547720-50547767_50547152-50547285_50548282-50548453	SPATA20	ATRT
CHURC1:64926007-64926080_64923990-64924126_64932137-64935368	CHURC1	ATRT
CHURC1:64926010-64926080_64923990-64924126_64932137-64934385	CHURC1	ATRT
TANC2:63418307-63418407_63415527-63415674_63419998-63422356	TANC2	ATRT
PKIA:78572811-78572939_78516339-78516468_78598357-78598535	PKIA	ATRT
SORBS3:22566345-22566484_22565677-22565872_22566660-22566694	SORBS3	ATRT
ORC4:147975902-147975975_147973447-147973524_148020632-148020723	ORC4	ATRT
STAU1:49174195-49174269_49153932-49154071_49188115-49188367	STAU1	ATRT
TPST1:66240325-66241270_66205333-66205522_66286510-66286709	TPST1	ATRT
ACAA1:38126162-38126341_38125825-38125881_38126509-38126700	ACAA1	ATRT
SUZ12:31947617-31947685_31940421-31940486_31966146-31966196	SUZ12	ATRT
TBCD:82756165-82756215_82752064-82752377_82763964-82764062	TBCD	ATRT
STK25:241498235-241498349_241497615-241497687_241498638-241498784	STK25	ATRT
HECTD1:31128612-31129307_31127784-31128006_31133237-31133414	HECTD1	ATRT
ACP1:272037-272065_271865-271939_272191-272305	ACP1	ATRT
CROCC:16969116-16969340_16968202-16968418_16970252-16970453	CROCC	ATRT
MOB4:197523624-197523686_197516065-197516146_197535529-197535630	MOB4	ATRT
CA5BP1:15692963-15693058_15688660-15688858_15702781-15703349	CA5BP1	ATRT
ZNF638:71348427-71350271_71331763-71331865_71355718-71355780	ZNF638	ATRT
PKP4:158577271-158577383_158533179-158533316_158603069-158603104	PKP4	ATRT
ZNF638:71348753-71350271_71331781-71331875_71355718-71355780	ZNF638	ATRT
EHBP1:62949094-62949162_62948291-62948316_62955516-62955660	EHBP1	ATRT
AC244197.3:149486925-149487098_149477103-149483218_149490313-149490440	3	ATRT
COPZ1:54343225-54343316_54342205-54342287_54345459-54345475	COPZ1	ATRT
APOC1:44916190-44916325_44914868-44914949_44919172-44919209	APOC1	ATRT
SCAMP3:155261657-155261734_155260536-155260659_155262085-155262360	SCAMP3	ATRT
IDNK:83628181-83628211_83623142-83623221_83628872-83628959	IDNK	ATRT
DCAF8:160261285-160261325_160243959-160244034_160262275-160262436	DCAF8	ATRT
PLEKHA2:38943789-38943837_38935993-38936050_38946123-38946221	PLEKHA2	ATRT
