ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	Type
59749	"ENSG00000154310.17"	"TNIK"	chr3	-	171139469	171139556	171138190	171138379	171140398	171140509	59749	106,489,54,582,784	59,6,0,2,10	179,185,8,1,0	14,38,0,10,4	236	149	0.000197941651779	0.005650342314189582	0.531,0.981,1.0,0.995,0.98	0.89,0.755,1.0,0.059,0.0	0.357	Kinase
63597	"ENSG00000104205.15"	"SGK3"	chr8	+	66677641	66677954	66667551	66667701	66678218	66678295	63597	12,23,4,8,18	4,2,0,0,0	0,15,1,13,12	2,12,37,0,5	298	149	1.06566777047e-05	0.0004841091453039502	0.6,0.852,1.0,1.0,1.0	0.0,0.385,0.013,1.0,0.545	0.502	Kinase
85195	"ENSG00000013441.16"	"CLK1"	chr2	-	200860124	200860215	200859679	200859746	200861237	200861466	85195	1238,1001,94,605,1383	2,1,0,2,4	1669,224,14,111,67	10,207,23,110,109	240	149	0	0.0	0.997,0.998,1.0,0.995,0.995	0.99,0.402,0.274,0.385,0.276	0.532	Kinase
122093	"ENSG00000113240.13"	"CLK4"	chr5	-	178617343	178617434	178616881	178616948	178618555	178618778	122093	183,230,29,110,183	4,1,0,0,0	214,37,16,54,33	4,28,6,28,38	240	149	0	0.0	0.966,0.993,1.0,1.0,1.0	0.971,0.451,0.623,0.545,0.35	0.404	Kinase
19483	"ENSG00000205937.12"	"RNPS1"	chr16	-	2266109	2266216	2264572	2264760	2267662	2267833	19483	10,18,2,12,19	4,49,0,33,32	9,9,0,0,4	2,136,13,129,105	256	149	0.000451445962405	0.011214741179408775	0.593,0.176,1.0,0.175,0.257	0.724,0.037,0.0,0.0,0.022	0.284	RBP
38035	"ENSG00000173933.20"	"RBM4"	chr11	+	66643449	66643528	66639699	66640123	66646026	66646469	38035	215,388,78,197,210	3,52,4,48,37	267,463,163,458,296	17,170,204,119,110	228	149	0.000856228111036	0.01901639917483865	0.979,0.83,0.927,0.728,0.788	0.911,0.64,0.343,0.716,0.637	0.201	RBP
49027	"ENSG00000136527.18"	"TRA2B"	chr3	-	185931576	185931852	185926600	185926734	185937824	185938029	49027	300,65,7,165,770	125,310,16,142,305	67,355,16,115,136	134,1356,124,858,499	298	149	1.49470361144e-06	9.28218730921461e-05	0.545,0.095,0.179,0.367,0.558	0.2,0.116,0.061,0.063,0.12	0.237	RBP
73398	"ENSG00000090097.21"	"PCBP4"	chr3	-	51961940	51962088	51961159	51961270	51962809	51962892	73398	6,10,6,43,26	0,0,0,1,0	10,1,9,18,8	0,3,0,2,3	297	149	0.000885784584009	0.019523549974544738	1.0,1.0,1.0,0.956,1.0	1.0,0.143,1.0,0.819,0.572	0.284	RBP
73405	"ENSG00000090097.21"	"PCBP4"	chr3	-	51962809	51962892	51961940	51962088	51973964	51974016	73405	6,5,3,21,17	0,0,0,0,0	5,1,9,16,7	0,0,0,6,15	232	149	1.88507645111e-05	0.0007843701298456937	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.631,0.231	0.228	RBP
87535	"ENSG00000102317.18"	"RBM3"	chrX	+	48575814	48576083	48575167	48575283	48576313	48576419	87535	280,119,25,31,92	0,0,1,0,0	132,35,1,57,42	0,19,0,10,23	298	149	6.14419626288e-12	1.8866740015139726e-09	1.0,1.0,0.926,1.0,1.0	1.0,0.479,1.0,0.74,0.477	0.246	RBP
87536	"ENSG00000102317.18"	"RBM3"	chrX	+	48575814	48576083	48575560	48575667	48576313	48576419	87536	409,221,42,76,131	2,92,6,113,108	254,63,21,93,64	13,1833,720,3044,1665	298	149	2.96600584093e-08	3.256004186051621e-06	0.99,0.546,0.778,0.252,0.378	0.907,0.017,0.014,0.015,0.019	0.394	RBP
87537	"ENSG00000102317.18"	"RBM3"	chrX	+	48575921	48576083	48575560	48575667	48576313	48576419	87537	231,119,25,29,80	2,92,6,113,108	129,35,1,57,45	13,1833,720,3044,1665	298	149	1.3179441527e-07	1.1667593749352319e-05	0.983,0.393,0.676,0.114,0.27	0.832,0.009,0.001,0.009,0.013	0.314	RBP
98900	"ENSG00000173914.12"	"RBM4B"	chr11	-	66666271	66666493	66665547	66665578	66668614	66668685	98900	34,18,2,17,13	8,109,6,28,6	8,7,23,3,1	40,49,48,72,49	298	149	0.000110028026048	0.00347530540498433	0.68,0.076,0.143,0.233,0.52	0.091,0.067,0.193,0.02,0.01	0.254	RBP
99392	"ENSG00000090905.19"	"TNRC6A"	chr16	+	24793472	24793649	24789231	24791817	24794543	24794719	99392	126,369,41,225,152	17,5,0,10,1	211,215,13,115,99	0,257,3,220,223	298	149	9.68250339684e-07	6.399102600279088e-05	0.787,0.974,1.0,0.918,0.987	1.0,0.295,0.684,0.207,0.182	0.46	RBP
109682	"ENSG00000116001.16"	"TIA1"	chr2	-	70228343	70228462	70227734	70227791	70229058	70229091	109682	6,17,2,8,16	0,0,0,0,0	4,7,0,21,20	0,9,1,5,8	268	149	1.4591249986e-08	1.770477523930341e-06	1.0,1.0,1.0,1.0,1.0	1.0,0.302,0.0,0.7,0.582	0.483	RBP
109684	"ENSG00000116001.16"	"TIA1"	chr2	-	70228343	70228462	70227734	70227822	70229058	70229091	109684	9,23,2,8,29	10,43,4,6,25	4,30,1,22,35	25,260,5,91,89	268	149	6.84325525135e-08	6.729338827075261e-06	0.333,0.229,0.218,0.426,0.392	0.082,0.06,0.1,0.118,0.179	0.212	RBP
114485	"ENSG00000164548.11"	"TRA2A"	chr7	-	23522120	23522432	23521706	23521840	23531788	23531980	114485	151,43,3,65,118	61,137,17,41,112	6,167,5,79,46	95,378,51,398,248	298	149	5.5453526755e-06	0.00027811353503058475	0.553,0.136,0.081,0.442,0.345	0.031,0.181,0.047,0.09,0.085	0.225	RBP
114487	"ENSG00000164548.11"	"TRA2A"	chr7	-	23522131	23522432	23521706	23521840	23531788	23532041	114487	122,40,3,62,102	61,137,17,41,112	12,157,1,73,35	95,378,51,398,248	298	149	1.44250824363e-06	9.024930479944809e-05	0.5,0.127,0.081,0.431,0.313	0.059,0.172,0.01,0.084,0.066	0.212	RBP
803	"ENSG00000147099.21"	"HDAC8"	chrX	-	72494195	72494381	72484850	72489041	72495155	72495268	803	23,7,0,14,10	1,1,2,2,4	25,2,0,2,1	14,10,7,2,2	298	149	0.000871981958534	0.01930101378328675	0.92,0.778,0.0,0.778,0.556	0.472,0.091,0.0,0.333,0.2	0.387	Epi
4063	"ENSG00000101126.18"	"ADNP"	chr20	-	50904765	50904849	50903888	50904001	50918738	50918781	4063	4,1,1,2,15	0,1,0,0,0	0,30,3,23,47	3,4,0,6,6	233	149	1.88054203745e-05	0.0007827335393473153	1.0,0.39,1.0,1.0,1.0	0.0,0.827,1.0,0.71,0.834	0.204	Epi
15327	"ENSG00000178999.13"	"AURKB"	chr17	-	8210176	8210225	8207737	8207840	8210529	8210584	15327	7,3,5,24,11	1,0,0,0,0	17,335,3,28,55	2,60,0,26,35	198	149	1.84561277372e-09	2.981282886938575e-07	0.84,1.0,1.0,1.0,1.0	0.865,0.808,1.0,0.448,0.542	0.235	Epi
41991	"ENSG00000139613.12"	"SMARCC2"	chr12	-	56172936	56173029	56172584	56172704	56173695	56173849	41991	214,639,64,640,729	245,502,75,189,226	283,368,139,217,87	382,776,67,470,294	242	149	0.0012946781917	0.026671190165597027	0.35,0.439,0.344,0.676,0.665	0.313,0.226,0.561,0.221,0.154	0.2	Epi
42966	"ENSG00000149929.16"	"HIRIP3"	chr16	-	29993905	29994843	29993639	29993808	29995102	29995217	42966	90,277,39,372,145	5,31,2,36,8	107,633,195,76,68	13,174,61,34,22	298	149	1.71851111119e-09	2.810845133574036e-07	0.9,0.817,0.907,0.838,0.901	0.805,0.645,0.615,0.528,0.607	0.233	Epi
42967	"ENSG00000149929.16"	"HIRIP3"	chr16	-	29994647	29994843	29993639	29993808	29995102	29995217	42967	42,162,29,209,79	5,31,2,36,8	46,337,82,40,45	13,174,61,34,22	298	149	1.03362707282e-09	1.7991191226319884e-07	0.808,0.723,0.879,0.744,0.832	0.639,0.492,0.402,0.37,0.506	0.315	Epi
45677	"ENSG00000156983.16"	"BRPF1"	chr3	+	9744223	9744508	9743577	9743901	9745007	9745155	45677	126,159,13,64,92	1,0,0,0,0	109,361,5,245,174	4,28,5,17,11	298	149	7.44416306375e-10	1.3368279368937863e-07	0.984,1.0,1.0,1.0,1.0	0.932,0.866,0.333,0.878,0.888	0.217	Epi
74672	"ENSG00000163939.18"	"PBRM1"	chr3	-	52554723	52554879	52550746	52550817	52558248	52558413	74672	16,167,2,106,32	6,2,0,1,3	13,164,1,78,26	3,5,0,38,42	298	149	0.00178493578062	0.034731953204842556	0.571,0.977,1.0,0.981,0.842	0.684,0.943,1.0,0.506,0.236	0.2	Epi
79319	"ENSG00000028310.18"	"BRD9"	chr5	-	868606	869119	865413	865581	869244	869404	79319	19,2,2,0,4	15,1,0,2,1	0,4,1,1,0	8,5,4,3,5	298	149	0.00112858194275	0.023853385489980356	0.388,0.5,1.0,0.0,0.667	0.0,0.286,0.111,0.143,0.0	0.403	Epi
