ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	Type
13052	"ENSG00000004897.12"	"CDC27"	chr17	-	47123885	47123960	47122443	47122600	47129392	47129521	13052	27,93,2,24,81	32,2,4,0,28	18,469,10,244,415	18,9,0,0,2	224	149	0.00106323440997	0.022667245331661062	0.359,0.969,0.25,1.0,0.658	0.399,0.972,1.0,1.0,0.993	-0.226	Driver
115245	"ENSG00000204410.16"	"MSH5"	chr6	+	31745236	31745319	31744545	31744581	31747386	31747432	115245	0,0,0,0,0	13,30,3,79,17	1,52,2,5,4	10,248,0,5,42	232	149	6.02058983816e-05	0.002093314636902168	0.0,0.0,0.0,0.0,0.0	0.06,0.119,1.0,0.391,0.058	-0.326	Driver
123706	"ENSG00000106462.11"	"EZH2"	chr7	-	148814913	148815039	148813958	148814137	148815505	148815546	123706	24,24,6,19,10	33,2,5,6,1	13,597,23,83,110	41,18,0,0,0	275	149	0.000550600282355	0.013201833215744306	0.283,0.867,0.394,0.632,0.844	0.147,0.947,1.0,1.0,1.0	-0.215	Driver
7145	"ENSG00000105221.18"	"AKT2"	chr19	-	40237968	40238091	40235889	40236104	40241937	40242069	7145	27,8,5,2,13	6,0,2,1,1	18,43,3,16,22	0,0,0,0,0	272	149	0.000110242055556	0.0034812211169461503	0.711,1.0,0.578,0.523,0.877	1.0,1.0,1.0,1.0,1.0	-0.262	Kinase
9309	"ENSG00000076984.17"	"MAP2K7"	chr19	+	7905807	7905855	7903884	7904068	7909754	7909896	9309	3,15,0,1,4	174,240,27,318,128	2,5,0,370,252	133,378,25,118,55	197	149	0.000749241436352	0.017038036345803857	0.013,0.045,0.0,0.002,0.023	0.011,0.01,0.0,0.703,0.776	-0.283	Kinase
16115	"ENSG00000185324.22"	"CDK10"	chr16	+	89689251	89689324	89686669	89686759	89690552	89690557	16115	13,16,6,59,4	10,7,2,10,2	31,192,26,189,100	3,15,0,22,16	222	149	0.000379875445244	0.009736862278863284	0.466,0.605,0.668,0.798,0.573	0.874,0.896,1.0,0.852,0.808	-0.264	Kinase
16119	"ENSG00000185324.22"	"CDK10"	chr16	+	89689251	89689324	89687588	89687815	89690552	89690557	16119	14,20,12,41,2	4,9,4,10,16	28,136,23,128,77	30,5,2,3,2	222	149	0.000381145539283	0.009754988132983972	0.701,0.599,0.668,0.733,0.077	0.385,0.948,0.885,0.966,0.963	-0.274	Kinase
21618	"ENSG00000035664.11"	"DAPK2"	chr15	-	63924815	63924861	63912107	63912197	63925940	63926093	21618	2,21,0,23,20	0,8,2,11,8	8,16,20,14,2	3,2,0,0,0	195	149	0.000213755921233	0.006023845437413781	1.0,0.667,0.0,0.615,0.656	0.671,0.859,1.0,1.0,1.0	-0.318	Kinase
24105	"ENSG00000080823.23"	"MOK"	chr14	-	102251755	102251804	102250811	102250987	102251916	102251995	24105	5,14,0,8,14	4,6,5,2,6	3,4,5,56,12	4,0,0,4,0	198	149	0.000316411173188	0.008356078925838712	0.485,0.637,0.0,0.751,0.637	0.361,1.0,1.0,0.913,1.0	-0.353	Kinase
44570	"ENSG00000170390.16"	"DCLK2"	chr4	+	150253473	150253556	150249567	150249684	150256019	150256119	44570	0,18,2,8,5	70,386,38,389,419	2,11,0,71,62	147,593,228,23,8	232	149	0.000536121118596	0.012905159946927357	0.0,0.029,0.033,0.013,0.008	0.009,0.012,0.0,0.665,0.833	-0.287	Kinase
