sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"CASC3","Approved symbol","CASC3","CASC3 exon junction complex subunit","HGNC:17040","17q21.1"
"CD2BP2","Approved symbol","CD2BP2","CD2 cytoplasmic tail binding protein 2","HGNC:1656","16p11.2"
"CWC25","Approved symbol","CWC25","CWC25 spliceosome associated protein homolog","HGNC:25989","17q12"
"ESS2","Approved symbol","ESS2","ess-2 splicing factor homolog","HGNC:16817","22q11.21"
"LSM1","Approved symbol","LSM1","LSM1 homolog, mRNA degradation associated","HGNC:20472","8p11.23"
"LSM10","Approved symbol","LSM10","LSM10, U7 small nuclear RNA associated","HGNC:17562","1p34.3"
"LSM11","Approved symbol","LSM11","LSM11, U7 small nuclear RNA associated","HGNC:30860","5q33.3"
"LSM12","Approved symbol","LSM12","LSM12 homolog","HGNC:26407","17q21.31"
"LSM14A","Approved symbol","LSM14A","LSM14A mRNA processing body assembly factor","HGNC:24489","19q13.11"
"LSM14B","Approved symbol","LSM14B","LSM family member 14B","HGNC:15887","20q13.33"
"MAGOHB","Approved symbol","MAGOHB","mago homolog B, exon junction complex subunit","HGNC:25504","12p13.2"
"NAA38","Approved symbol","NAA38","N-alpha-acetyltransferase 38, NatC auxiliary subunit","HGNC:28212","17p13.1"
"PPIL2","Approved symbol","PPIL2","peptidylprolyl isomerase like 2","HGNC:9261","22q11.21"
"PRCC","Approved symbol","PRCC","proline rich mitotic checkpoint control factor","HGNC:9343","1q23.1"
"SNU13","Approved symbol","SNU13","small nuclear ribonucleoprotein 13","HGNC:7819","22q13.2"
"RNU11","Approved symbol","RNU11","RNA, U11 small nuclear","HGNC:10108","1p35.3"
"AQR","Approved symbol","AQR","aquarius intron-binding spliceosomal factor","HGNC:29513","15q14"
"BCAS2","Approved symbol","BCAS2","BCAS2 pre-mRNA processing factor","HGNC:975","1p13.2"
"BUD13","Approved symbol","BUD13","BUD13 homolog","HGNC:28199","11q23.3"
"BUD31","Approved symbol","BUD31","BUD31 homolog","HGNC:29629","7q22.1"
"C9orf78","Approved symbol","C9orf78","chromosome 9 open reading frame 78","HGNC:24932","9q34.11"
"CACTIN","Approved symbol","CACTIN","cactin, spliceosome C complex subunit","HGNC:29938","19p13.3"
"CCAR1","Approved symbol","CCAR1","cell division cycle and apoptosis regulator 1","HGNC:24236","10q21.3"
"CCDC12","Approved symbol","CCDC12","coiled-coil domain containing 12","HGNC:28332","3p21.31"
"CDC40","Approved symbol","CDC40","cell division cycle 40","HGNC:17350","6q21"
"CDC5L","Approved symbol","CDC5L","cell division cycle 5 like","HGNC:1743","6p21.1"
"CDK10","Approved symbol","CDK10","cyclin dependent kinase 10","HGNC:1770","16q24.3"
"CHERP","Approved symbol","CHERP","calcium homeostasis endoplasmic reticulum protein","HGNC:16930","19p13.11"
"CRNKL1","Approved symbol","CRNKL1","crooked neck pre-mRNA splicing factor 1","HGNC:15762","20p11.23"
"CTNNBL1","Approved symbol","CTNNBL1","catenin beta like 1","HGNC:15879","20q11.23"
"CWC15","Approved symbol","CWC15","CWC15 spliceosome associated protein homolog","HGNC:26939","11q21"
"CWC22","Approved symbol","CWC22","CWC22 spliceosome associated protein homolog","HGNC:29322","2q31.3"
"CWC27","Approved symbol","CWC27","CWC27 spliceosome associated cyclophilin","HGNC:10664","5q12.3"
"CXorf56","Previous symbol","STEEP1","STING1 ER exit protein 1","HGNC:26239","Xq24"
"DDX23","Approved symbol","DDX23","DEAD-box helicase 23","HGNC:17347","12q13.12"
"DDX39B","Approved symbol","DDX39B","DExD-box helicase 39B","HGNC:13917","6p21.33"
"DDX41","Approved symbol","DDX41","DEAD-box helicase 41","HGNC:18674","5q35.3"
"DDX46","Approved symbol","DDX46","DEAD-box helicase 46","HGNC:18681","5q31.1"
"DHX15","Approved symbol","DHX15","DEAH-box helicase 15","HGNC:2738","4p15.2"
"DHX16","Approved symbol","DHX16","DEAH-box helicase 16","HGNC:2739","6p21.33"
"DHX35","Approved symbol","DHX35","DEAH-box helicase 35","HGNC:15861","20q11.23-q12"
"DHX8","Approved symbol","DHX8","DEAH-box helicase 8","HGNC:2749","17q21.31"
