gene	splice_event	avg_dpsi	stdev_dpsi	freq	coord	str
TAZ	TAZ_154414101-154414190_154413481-154413567_154419542-154419623	-0.315608695652174	0.0645654981961129	23		chrX:154414101-154414190	+
ZNF185	ZNF185_152936418-152936513_152932872-152932971_152938073-152938163	-0.317	0.152998366004347	9		chrX:152936418-152936513	+
PAK3	PAK3_111103159-111103306_111097540-111097684_111123076-111123278	-0.743324324324324	0.152639381487154	37		chrX:111103159-111103306	+
ATG4A	ATG4A_108126793-108127094_108126076-108126187_108128780-108128852	-0.309294117647059	0.130363800912045	17		chrX:108126793-108127094	+
GPRASP1	GPRASP1_102652175-102652265_102651365-102651595_102653220-102653298	-0.494857142857143	0.0616047308016426	7		chrX:102652175-102652265	+
ARMCX5-GPRASP2	ARMCX5-GPRASP2_102600920-102601032_102599705-102599859_102601463-102601509	-0.583615384615385	0.135356035736337	13		chrX:102600920-102601032	+
KDM6A	KDM6A_45060022-45060156_45059246-45059466_45061323-45061419	-0.838333333333333	0.16608018717303	36		chrX:45060022-45060156	+
KDM6A	KDM6A_45060609-45060764_45060021-45060156_45061323-45061419	-0.445277777777778	0.0268236189942318	18		chrX:45060609-45060764	+
CASK	CASK_41555600-41555635_41553718-41553915_41557031-41557100	-0.546333333333333	0.0149707316794318	39		chrX:41555600-41555635	-
TRAPPC2	TRAPPC2_13720428-13720497_13719870-13719982_13734524-13734633	-0.329260869565217	0.160712679080996	23		chrX:13720428-13720497	-
ARSA	ARSA_50627556-50627792_50627165-50627406_50627945-50628170	-0.27875	0.0371419948007343	28		chr22:50627556-50627792	-
SBF1	SBF1_50457034-50457111_50456491-50456673_50459254-50459392	-0.485512820512821	0.0825402204334576	39		chr22:50457034-50457111	-
HDAC10	HDAC10_50250427-50250523_50250062-50250160_50250770-50250905	-0.431611111111111	0.121461405458166	36		chr22:50250427-50250523	-
CDPF1	CDPF1_46247106-46247221_46244050-46245238_46248171-46248285	-0.467904761904762	0.010797706987619	21		chr22:46247106-46247221	-
CDPF1	CDPF1_46247110-46247221_46244012-46245238_46250255-46250311	-0.448896551724138	0.0933558265178322	29		chr22:46247110-46247221	-
CDPF1	CDPF1_46247125-46247221_46244010-46245238_46248171-46248285	-0.481444444444445	0.0114080581542028	18		chr22:46247125-46247221	-
AL022238.4	AL022238.4_40401593-40401675_40400695-40400813_40402138-40402205	-0.241	0.0271135179779913	15		chr22:40401593-40401675	+
RBFOX2	RBFOX2_35752613-35752655_35746472-35746561_35759887-35760020	-0.340285714285714	0.0809911811777766	7		chr22:35752613-35752655	-
RBFOX2	RBFOX2_35756105-35756144_35746472-35746561_35759887-35760020	-0.233863636363636	0.0233223690999199	22		chr22:35756105-35756144	-
PISD	PISD_31625763-31626016_31621648-31621885_31638365-31638405	-0.205	5.68174746938997e-17	22		chr22:31625763-31626016	-
SMARCA1	SMARCA1_129493040-129493075_129491940-129492093_129496749-129496871	-0.373545454545455	0.0468024863364408	11		chrX:129493040-129493075	-
CBY1	CBY1_38665546-38665685_38656650-38656750_38668016-38668132	-0.451111111111111	0.225465321304876	9		chr22:38665546-38665685	+
TRPM2	TRPM2_44427010-44427111_44426659-44426736_44435130-44435217	-0.302409090909091	0.039051442374324	22		chr21:44427010-44427111	+
GRIK1-AS1	GRIK1-AS1_29758831-29759010_29748833-29749145_29763577-29764002	-0.630333333333333	0.218415506165046	3		chr21:29758831-29759010	+
AURKA	AURKA_56388687-56388784_56388155-56388202_56392167-56392196	-0.561454545454545	0.146254137470612	11		chr20:56388687-56388784	-
AURKA	AURKA_56390556-56390665_56388155-56388202_56392167-56392202	-0.578588235294118	0.17258369666032	17		chr20:56390556-56390665	-
RNF114	RNF114_49941583-49941711_49936376-49936552_49945381-49945488	-0.25	0.0170813181157494	36		chr20:49941583-49941711	+
ZNF334	ZNF334_46504214-46504306_46499629-46503097_46504613-46504740	-0.321736842105263	0.0092246174582723	19		chr20:46504214-46504306	-
ZNF334	ZNF334_46504214-46504359_46501067-46503097_46504613-46504740	-0.418	0.0155948709516943	16		chr20:46504214-46504359	-
ZNF334	ZNF334_46509605-46509751_46504613-46504740_46512081-46512140	-0.549916666666667	0.230294459070964	12		chr20:46509605-46509751	-
CD40	CD40_46121724-46121898_46118372-46118394_46122232-46122358	-0.4069	0.0282860389591756	10		chr20:46121724-46121898	+
CD40	CD40_46121820-46121898_46118277-46118394_46122232-46122358	-0.239	0.015261817615313	14		chr20:46121820-46121898	+
PKIG	PKIG_44582585-44582731_44531784-44531978_44589796-44589866	-0.756	0.216374675043084	2		chr20:44582585-44582731	+
EPB41L1	EPB41L1_36214357-36214440_36212271-36212376_36221863-36221934	-0.306823529411765	0.0359291582390223	17		chr20:36214357-36214440	+
EPB41L1	EPB41L1_36214360-36214440_36212271-36212376_36221863-36221944	-0.2786875	0.0334379400282573	16		chr20:36214360-36214440	+
LINC00630	LINC00630_102825993-102826169_102816991-102817082_102826968-102827144	-0.431263157894737	0.175360847684381	19		chrX:102825993-102826169	+
CFAP61	CFAP61_20341831-20341921_20298180-20298386_20360209-20360698	-0.518	1.14439169963056e-16	17		chr20:20341831-20341921	+
MKKS	MKKS_10413796-10413931_10408627-10408803_10420527-10420758	-0.2725625	0.0355073254595488	32		chr20:10413796-10413931	-
PLCB4	PLCB4_9476717-9476753_9473278-9473365_9478920-9481242	-0.542041666666667	0.0691919065175706	24		chr20:9476717-9476753	+
IDH3B	IDH3B_2659525-2659585_2658394-2658522_2660262-2660308	-0.585	0	7		chr20:2659525-2659585	-
SDCBP2-AS1	SDCBP2-AS1_1374484-1374698_1373077-1373178_1376797-1378723	-0.594227272727273	0.184041126826686	22		chr20:1374484-1374698	+
