Splice ID	Case	Sample	Histology	CNS	Type
BTG3:17604145-17604276_17598616-17598824_17604859-17604997	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NKAIN4:63242539-63242623_63240783-63241506_63244023-63244084	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
RBM38:57393279-57393333_57392653-57392777_57407542-57407776	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ZFAS1:49280903-49280964_49280321-49280570_49289044-49289260	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
EPB41L1:36173764-36173954_36092679-36092813_36175550-36175715	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
LRP1B:140269268-140269381_140247085-140247162_140270241-140270346	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PPA2:105437950-105438036_105424195-105424322_105446382-105446502	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
U2AF1L4:35743155-35743345_35742530-35742803_35743808-35743904	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
VPS35L:19650382-19650459_19647783-19647882_19651975-19652090	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NKAPD1:112074887-112074916_112074315-112074358_112075566-112075643	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
RGN:47089776-47089991_47084417-47084600_47091677-47091809	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
C1orf43:154214457-154214574_154213892-154213946_154219835-154219937	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NTPCR:232969909-232970118_232956346-232956443_232978162-232978482	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DDX39B:31538763-31538855_31536499-31536683_31540321-31540534	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
NEK1:169508769-169508852_169508247-169508331_169537808-169537911	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
CRAMP1:1666073-1666177_1665056-1665138_1666421-1666513	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PLD1:171686685-171686798_171677565-171677694_171687370-171687584	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PLEKHA6:204256802-204256888_204250545-204250614_204257352-204257869	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
FBXW11:171914343-171914405_171910571-171910797_172006457-172006873	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MOBP:39499467-39499532_39480039-39480123_39502065-39502275	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
DENND4A:65700544-65700672_65697266-65697383_65701050-65701192	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NAP1L1:76068909-76068994_76067370-76067473_76084566-76084666	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CTBS:84569931-84570139_84565840-84566012_84570581-84570720	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
RACK1:181240216-181240327_181239322-181239582_181241491-181241639	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
RACK1:181240216-181240345_181239486-181239582_181241491-181241563	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
SETD5:9433370-9433562_9428822-9429009_9433844-9433878	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
RAB9A:13703735-13703902_13689160-13689288_13708720-13708817	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
METTL6:15415498-15415583_15414020-15414162_15415771-15415860	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ANKS6:98790104-98790606_98784831-98784876_98796132-98796555	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
RPAIN:5425971-5428211_5422768-5422829_5432541-5432704	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SCMH1:41033983-41034048_41028583-41028726_41037361-41037452	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PVT1:128070160-128070361_127989161-127989291_128096517-128096654	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
AAMDC:77831892-77832012_77821141-77821241_77842478-77842628	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
CLTA:36198979-36199096_36190855-36191273_36204067-36204179	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
TJP2:69251035-69251364_69247638-69248224_69252814-69252900	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ALKBH3:43892041-43892129_43889724-43889828_43901515-43901714	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
BCAS1:53975389-53975430_53953431-53953695_53985286-53985499	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NT5C2:103111745-103111805_103106588-103106706_103139405-103139479	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ZCCHC17:31318167-31318236_31310043-31310164_31319108-31319166	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NDRG4:58499144-58501077_58494963-58495008_58503797-58503903	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
NDRG4:58500988-58501077_58494963-58495008_58503797-58503903	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
C2CD5:22459492-22459542_22456970-22457161_22469708-22469795	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ATP5F1C:7806974-7807010_7802757-7802854_7807658-7807793	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ATP2B1:89598657-89598743_89590527-89591295_89599116-89599299	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
SUGT1:52661475-52661570_52659178-52659249_52662648-52662702	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ATOX1:151751704-151751779_151742821-151742959_151758545-151758631	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
DHX30:47819236-47819264_47818021-47818117_47827346-47827477	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
MAG:35312281-35312325_35311917-35312017_35313289-35313804	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
WDR59:74899698-74899754_74893678-74893812_74903946-74904100	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
MYO18A:29085604-29085648_29082315-29082438_29086437-29086577	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
SLC15A4:128809943-128810053_128809395-128809473_128814774-128815070	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SLC15A4:128809943-128810111_128809395-128809473_128814774-128815070	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
PSMC5:63827674-63827923_63827459-63827514_63828137-63828209	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PSMC5:63827829-63827923_63827445-63827514_63828137-63828209	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
PSMC5:63827851-63827923_63827459-63827514_63828137-63828209	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
BPTF:67928959-67929120_67928354-67928601_67929335-67929487	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
SEMA5B:122961140-122961301_122948505-122948709_123027463-123027578	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
GRIA3:123465674-123465788_123464864-123465112_123480062-123480177	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
ZNF81:47842650-47842768_47836945-47837007_47846104-47846321	SE	BS_30VC3R2Q	H3 WT	NA	Inclusion
SFI1:31531058-31531129_31528689-31528863_31546860-31546971	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
ARHGEF6:136677936-136677956_136676623-136676717_136680730-136680876	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
SIRT2:38893414-38893527_38890102-38890144_38899505-38899518	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
CHN1:174808905-174809042_174801706-174801812_174811510-174811588	SE	BS_30VC3R2Q	H3 WT	NA	Skipping
