Splice_ID	dPSI	Uniprot
AP003071.5_69085671-69085752	-0.152	Modifications
ARSF_3101087-3101221	-0.63	Modifications
ASAP2_9400023-9400072	-0.372	Modifications
C2CD5_22456971-22457161	-0.25	Modifications
CACNA1B_138096484-138096611	-0.145	Modifications
CD164_109370411-109370467	-0.1	Modifications
CD53_110894960-110895055	-0.138	Modifications
CDH23_71793182-71793640	-0.667	Modifications
CEMIP2_71750043-71750385	-0.667	Modifications
CES4A_67005240-67005393	-0.706	Modifications
COQ9_57456931-57457015	-0.515	Modifications
CSDE1_114737471-114737563	-0.107	Modifications
EPHX2_27538659-27538692	-0.235	Modifications
FAM160A2_6218558-6218763	-0.5	Modifications
FLT3LG_49478909-49479047	-0.563	Modifications
LILRA2_54587010-54587060	-0.303	Modifications
MAPT_45974385-45974471	-0.253	Modifications
MAPT_45983178-45983930	-0.402	Modifications
NEK4_52749692-52749829	-0.3	Modifications
PDHA1_19355349-19355504	-0.667	Modifications
PFKFB2_207060846-207060930	-0.134	Modifications
PRMT7_68315925-68316074	-0.194	Modifications
PUM1_30964674-30964910	-0.104	Modifications
PUM1_31006994-31007102	-0.173	Modifications
RHOQ_46576087-46576251	-0.16	Modifications
RNF34_121417504-121417911	-0.394	Modifications
RPS3A_151100975-151101085	-0.13	Modifications
RYK_134175609-134175768	-0.188	Modifications
SCN4B_118143833-118144061	-0.187	Modifications
SDK2_73398035-73398185	-0.667	Modifications
SGCA_50169092-50169254	-0.362	Modifications
SIRT2_38893819-38893998	-0.108	Modifications
SLC43A2_1616717-1616769	-0.112	Modifications
SRL_4206727-4208104	-0.176	Modifications
WFDC3_45787836-45787982	-0.633	Modifications
ZFAND6_80120328-80120498	-0.196	Modifications
ZYX_143382801-143383322	-0.25	Modifications
ABCB8_151031241-151031291	-0.169	Other
AC073896.1_56310958-56311054	-0.21	Other
ACAT1_108129103-108129201	-0.124	Other
ACE_63486292-63486371	-0.207	Other
ACP7_39100227-39100350	-0.289	Other
ADAM22_87964634-87964684	-0.213	Other
ADGRG6_142405343-142405391	-0.108	Other
AGBL2_47685893-47686049	-0.941	Other
ALKBH2_109090009-109090207	-0.123	Other
AP003071.5_69085671-69085752	-0.152	Other
AP3B2_82665247-82665303	-0.126	Other
APPL1_57230714-57230767	-0.801	Other
ARFGAP1_63276480-63276651	-1	Other
ARGLU1_106557559-106557616	-0.107	Other
ARL1_101403142-101403255	-0.159	Other
ARSF_3101087-3101221	-0.63	Other
ASAP2_9400023-9400072	-0.372	Other
ATL1_50630932-50631077	-0.106	Other
BCL11A_60508606-60508824	-0.108	Other
CACNA1B_138096484-138096611	-0.145	Other
CADPS_62498146-62498154	-0.353	Other
CASP12_104891170-104891404	-0.428	Other
CASP12_104891198-104891404	-0.528	Other
CCDC136_128815614-128815931	-0.113	Other
CD164_109370411-109370467	-0.1	Other
CD4_6800307-6800471	-0.162	Other
CDK11A_1722588-1722634	-0.126	Other
CEP63_134547335-134547472	-0.503	Other
CEP97_101763109-101763186	-0.193	Other
CETN3_90396493-90396564	-0.15	Other
COQ3_99383008-99383130	-0.262	Other
CP_149212451-149212698	-0.102	Other
DDX19A_70356846-70356906	-0.12	Other
DDX3X_41336083-41336159	-1	Other
DHODH_72015684-72015858	-0.125	Other
DHRS2_23638827-23639004	-0.5	Other
DNM1L_32709544-32709607	-0.159	Other
DNMT3A_25249657-25249724	-0.104	Other
EDN3_59323666-59323723	-0.207	Other
EEF1E1_8095378-8095495	-0.157	Other
EIF3E_108242112-108242256	-0.527	Other
EMSY_76459933-76460085	-0.267	Other
EP400P1_132104567-132105304	-0.5	Other
EPHX2_27538659-27538692	-0.235	Other
EZH2_148836822-148837000	-0.182	Other
FAM86B1_12186352-12186617	-0.268	Other
FAS_89012199-89012335	-0.162	Other
FCGRT_49515177-49515269	-0.123	Other
FCGRT_49516114-49516199	-0.519	Other
FGFR2_121518682-121518829	-0.1	Other
FLRT3_14329134-14329327	-0.5	Other
FOPNL_15882949-15883048	-0.87	Other
FTSJ1_48481289-48481342	-0.226	Other
GALNS_88843030-88843199	-0.19	Other
GALNT10_154356153-154356283	-0.842	Other
GIGYF2_232776412-232776477	-0.106	Other
GORASP1_39102693-39102881	-0.667	Other
GPAT2_96027007-96027106	-0.782	Other
HDAC3_141629173-141629306	-0.655	Other
HNRNPUL2-BSCL2_62692376-62692473	-0.249	Other
HOOK1_59863825-59863868	-0.111	Other
HPX_6438352-6438509	-0.286	Other
HSD17B4_119464614-119464693	-0.14	Other
