Splice_ID	dPSI	Uniprot
ABCA1_104884427-104884568	-0.36992	Modifications
ABCC5_183949753-183949881	-0.130518518518519	Modifications
ABHD14B_51971460-51971698	-0.128181818181818	Modifications
ABHD14B_51971460-51971892	-0.2306	Modifications
ABI1_26759062-26759235	-0.269317073170732	Modifications
ABI1_26759062-26759238	-0.25421978021978	Modifications
AC010619.3_49478909-49479047	-0.321375	Modifications
AC037459.1_22591551-22591668	-0.173767857142857	Modifications
ACAD10_111727962-111728143	-0.581196078431373	Modifications
ACAD10_111729806-111729956	-0.027	Modifications
ACLY_41896620-41896649	-0.176842105263158	Modifications
ACSBG1_78208002-78208102	-0.19875	Modifications
ACSF2_50472428-50472579	-0.33162962962963	Modifications
ADAM11_44769718-44769794	-0.106882352941176	Modifications
ADAMTS13_133443376-133443561	-0.453236842105263	Modifications
ADCY9_4007368-4007558	-0.27664	Modifications
ADGRB2_31740347-31740541	-0.862857142857143	Modifications
ADGRB2_31744193-31744357	-0.137333333333333	Modifications
ADGRD1_130987095-130987349	-0.364	Modifications
AGAP3_151119987-151120145	-0.0823333333333333	Modifications
AGAP3_151139979-151140116	-0.116818181818182	Modifications
AHCTF1_246843795-246843928	-0.242826923076923	Modifications
AK4_65190710-65190829	-0.338679245283019	Modifications
AKT2_40265259-40265351	-0.189142857142857	Modifications
ALAS2_55014747-55015015	-0.5	Modifications
ALG11_52024006-52024937	-0.06525	Modifications
ALKBH3_43901516-43901725	-0.157818181818182	Modifications
AMPD2_109625303-109625433	-0.166587301587302	Modifications
ANAPC16_72223888-72224056	-0.118484848484848	Modifications
ANGPT2_6532332-6532487	-0.1155	Modifications
ANK1_41672516-41672912	-0.326962962962963	Modifications
ANK2_113373285-113373449	-0.0375416666666667	Modifications
ANK3_60137342-60137353	-0.3603	Modifications
ANK3_60166591-60166653	-0.413015625	Modifications
ANKHD1-EIF4EBP3_140496520-140497278	-0.263615384615385	Modifications
ANKS1B_98829174-98829353	-0.176205128205128	Modifications
ANKS3_4729980-4730151	-0.129865384615385	Modifications
ANTKMT_722084-722134	-0.0951428571428571	Modifications
AP000295.1_33268394-33268517	-0.69575	Modifications
APC_112754873-112755025	-0.185096774193548	Modifications
ARFIP1_152870753-152870848	-0.308846153846154	Modifications
ARHGEF11_156954892-156954921	-0.678	Modifications
ARHGEF1_41897315-41897326	-0.41	Modifications
ARHGEF1_41906457-41906620	-0.108066666666667	Modifications
ARHGEF2_155965631-155965760	-0.12068	Modifications
ARHGEF40_21087320-21087463	-0.10316	Modifications
ARMC6_19042711-19042877	-0.087258064516129	Modifications
ARMT1_151454548-151454653	-0.0376	Modifications
ARNT_150842424-150842468	-0.1214	Modifications
ARSA_50627556-50627792	-0.230096774193548	Modifications
ASGR2_7108772-7108888	-0.641	Modifications
ASIC4_219531758-219531902	-0.304333333333333	Modifications
ASPDH_50512360-50512580	-0.00443181818181819	Modifications
ASPDH_50513272-50513416	-0.428	Modifications
ATAT1_30642768-30643011	-0.218733333333333	Modifications
ATF7IP2_10457372-10457529	-0.959285714285714	Modifications
ATP11C_139731651-139731755	-0.0484842105263158	Modifications
ATXN2_111510385-111510444	-0.09125	Modifications
ATXN2_111510385-111510582	-0.117793103448276	Modifications
BAG6_31639500-31639646	-0.0489375	Modifications
BBC3_47228158-47228446	-0.336583333333333	Modifications
BCAR1_75236882-75236998	-0.0245	Modifications
BCAR1_75237183-75237344	-0.207366666666667	Modifications
BCAS1_53975389-53975430	-0.0209090909090909	Modifications
BCKDK_31110688-31110761	-0.0450909090909091	Modifications
BCL2L12_49667022-49667161	-0.226	Modifications
BCLAF1_136276468-136276508	-0.783868852459016	Modifications
BFAR_14655066-14655210	-0.126944444444444	Modifications
BID_17743803-17744013	-0.170625	Modifications
BID_17750105-17750174	-0.303954545454546	Modifications
BMP7_57183722-57183919	-0.193673913043478	Modifications
BORCS8-MEF2B_19180686-19180761	-0.05228	Modifications
BPGM_134661447-134662108	-0.167	Modifications
BTF3L4_52059835-52059901	-0.0911818181818182	Modifications
BTF3L4_52083340-52083541	-0.0959230769230769	Modifications
BTN2A2_26385015-26385362	-0.263245614035088	Modifications
BTN2A2_26385143-26385362	-0.4175	Modifications
C15orf40_83008548-83008675	-0.207784615384615	Modifications
C2_31935923-31936061	-0.185	Modifications
CALU_128754262-128754455	-0.249116279069767	Modifications
CAMK2G_73819532-73819617	-0.01276	Modifications
CAMK2G_73819532-73819645	-0.140068965517241	Modifications
CAMK2G_73825279-73825347	-0.246347826086957	Modifications
CAMK2G_73825321-73825347	-0.0972857142857143	Modifications
CASP8AP2_89865953-89869082	-0.43625	Modifications
CAST_96729153-96729209	-0.21653125	Modifications
CAST_96740745-96740783	-0.289760869565217	Modifications
CBLB_105685320-105685466	-0.5793125	Modifications
CC2D1B_52357001-52357174	-0.188357142857143	Modifications
CCDC13_42730467-42730589	-0.2964	Modifications
CCDC14_123955843-123956795	-0.564295081967213	Modifications
CCDC28B_32204186-32204379	-0.13344	Modifications
CCDC39_180614996-180615077	-0.947	Modifications
CCDC88B_64354004-64354170	-0.148933333333333	Modifications
CCM2_45068443-45068579	-0.114466666666667	Modifications
CD22_35338168-35338431	-0.367966666666667	Modifications
CD40_46123126-46123219	-0.0264230769230769	Modifications
CDCA3_6849323-6849413	-0.474	Modifications
CDCA3_6849323-6849429	-0.447428571428571	Modifications
CDCA3_6850833-6851009	-0.8648	Modifications
CDHR3_106022198-106022448	-0.442285714285714	Modifications
CEMIP2_71690092-71690246	-0.204475409836066	Modifications
CEP250_35507738-35507851	-0.175965517241379	Modifications
CEP57L1_109145219-109145381	-0.0560555555555556	Modifications
CES1_55810927-55811007	-0.507	Modifications
CES1_55810927-55811010	-0.281	Modifications
CES2_66938037-66938241	-0.213	Modifications
CHD3_7907601-7907702	-0.194222222222222	Modifications
CHL1_398227-398385	-0.261766666666667	Modifications
CHST6_75478084-75479844	-0.235395833333333	Modifications
CHST6_75478533-75479844	-0.121666666666667	Modifications
CLEC17A_14600031-14600182	-0.667	Modifications
CLEC4E_8537115-8537266	-0.124333333333333	Modifications
CLEC5A_141935814-141935950	-0.051625	Modifications
CLEC5A_141945341-141945400	-0.0244444444444444	Modifications
CLEC7A_10126571-10126708	-0.352888888888889	Modifications
CLK1_200860125-200860215	-0.179333333333333	Modifications
CLTCL1_19187558-19187728	-0.5198	Modifications
CLTCL1_19187981-19188091	-0.179	Modifications
CNNM1_99387820-99388003	-0.19	Modifications
COBL_51025109-51025231	-0.109	Modifications
COBL_51025109-51025372	-0.109625	Modifications
COBL_51184102-51184199	-0.107222222222222	Modifications
CPO_206962412-206962614	-0.9266	Modifications
CP_149210167-149210379	-0.1245	Modifications
CRACD_56298214-56298349	-0.511142857142857	Modifications
CREBBP_3739578-3739724	-0.107232558139535	Modifications
CREM_35179134-35179276	-0.1582	Modifications
