SpliceID	dPSI	Uniprot
AAK1_69480860-69480961_69476879-69476990_69495984-69496080	0.3505	Modifications
AASS_122101371-122101438_122098449-122098576_122101620-122101680	0.3162	Modifications
ABCA1_104804626-104804720_104803283-104803316_104806240-104806430	0.363714285714286	Modifications
ABCB10_229547499-229547701_229542236-229542371_229549233-229549434	0.42475	Modifications
ABCE1_145121333-145121391_145119931-145120153_145123020-145123131	0.365	Modifications
ABHD14A-ACY1_51980393-51980628_51975125-51975204_51984046-51984158	0.476571428571429	Modifications
ABI1_26759062-26759235_26755654-26755741_26765217-26765318	0.413	Modifications
ABLIM1_114453379-114453483_114451623-114451671_114465697-114465827	0.526217948717949	Modifications
ABLIM3_149237448-149237603_149233228-149233300_149239758-149239888	0.579272727272727	Modifications
AC004076.1_57456126-57456182_57455447-57455743_57476633-57476672	0.54525	Modifications
AC004832.3_30415759-30415865_30410595-30410679_30416233-30416403	0.32925	Modifications
AC004832.3_30427171-30427403_30426716-30426844_30428461-30428987	0.244333333333333	Modifications
AC058822.1_53414615-53414722_53399729-53399839_53425871-53425965	0.352947368421053	Modifications
AC069281.2_100577086-100577154_100576693-100577005_100577272-100577389	0.24375	Modifications
AC092718.3_81084463-81084594_81053586-81054094_81090600-81090680	0.318	Modifications
AC106741.2_76475939-76476045_76467351-76467523_76479418-76479538	0.225	Modifications
AC118549.1_77631850-77633405_77584516-77584655_77639448-77639602	0.272	Modifications
AC138894.1_28489290-28489386_28466652-28466902_28491713-28492012	0.2575	Modifications
AC242426.2_147280026-147280191_147276103-147276257_147285323-147285487	0.355333333333333	Modifications
AC242426.2_147284351-147284499_147276103-147276257_147285323-147285487	0.319	Modifications
ACAD10_111729806-111729956_111727961-111728143_111733922-111734068	0.424166666666667	Modifications
ACADSB_123037747-123037847_123034355-123034515_123040465-123040657	0.435777777777778	Modifications
ACADS_120737356-120737467_120736985-120737135_120737836-120737988	0.316	Modifications
ACHE_100892334-100892554_100891168-100891338_100893164-100894252	0.23	Modifications
ACHE_100892334-100892643_100891168-100891338_100893164-100893904	0.243	Modifications
ACHE_100892334-100892818_100891168-100891338_100893164-100894252	0.2185	Modifications
ACHE_100892687-100892818_100891168-100891338_100893164-100894233	0.385666666666667	Modifications
ACIN1_23089982-23090101_23081747-23081836_23090521-23090633	0.2485	Modifications
ACLY_41897749-41897839_41893032-41893174_41898630-41898785	0.2782	Modifications
ACOX1_75973625-75973785_75957458-75957566_75978533-75978693	0.360111111111111	Modifications
ACP1_276980-277085_272036-272150_277226-277261	0.414	Modifications
ACSM5_20423916-20424069_20421055-20421401_20427787-20427867	0.38425	Modifications
ACTN2_236735635-236735720_236734432-236734518_236737121-236737214	0.3982	Modifications
ACTN4_38710257-38710342_38709394-38709476_38711275-38711361	0.25796	Modifications
ACTR8_53878357-53878467_53877646-53877751_53879938-53880072	0.5218	Modifications
ACVR1B_51986818-51986942_51985191-51985348_51991862-51991993	0.386	Modifications
ACVRL1_51913559-51913770_51913098-51913350_51914438-51914585	0.3634	Modifications
ACYP1_75063470-75063561_75053236-75053659_75069209-75069483	0.3922	Modifications
ADAM10_58643886-58643978_58640776-58640960_58646054-58646204	0.479	Modifications
ADAM11_44769718-44769794_44759721-44759897_44771583-44771669	0.392	Modifications
ADAM19_157499573-157499662_157496893-157497089_157502802-157502822	0.6075	Modifications
ADAM23_206571727-206571816_206570739-206570811_206573114-206573195	0.368333333333333	Modifications
ADAM33_3675027-3675105_3674218-3674284_3677066-3677143	0.5185	Modifications
ADAMTS13_133425938-133426062_133425528-133425612_133426198-133426345	0.264333333333333	Modifications
ADAMTS13_133438246-133438366_133437748-133437897_133439365-133439446	0.37295	Modifications
ADAMTS13_133457910-133458094_133456542-133456719_133458973-133459386	0.515666666666667	Modifications
ADAMTS14_70674556-70674995_70672505-70672884_70702311-70702468	0.331428571428571	Modifications
ADAMTSL2_133538349-133538424_133536562-133536802_133540597-133540743	0.3525	Modifications
ADARB1_45175730-45176664_45171609-45171684_45180329-45180444	0.25275	Modifications
ADCY8_130847424-130847513_130836276-130836449_130849601-130849803	0.3483	Modifications
ADD3_110132305-110132400_110130362-110130486_110133325-110135565	0.418246753246753	Modifications
ADGRA2_37814896-37814967_37796882-37797534_37828887-37828959	0.258	Modifications
ADGRB3_68974763-68974864_68956644-68956809_68993767-68993962	0.415	Modifications
ADGRE2_14755654-14755844_14754953-14755127_14756237-14756345	0.5685	Modifications
ADGRE2_14755654-14755877_14754953-14755127_14756237-14756345	0.4575	Modifications
