SpliceID	dPSI	Uniprot
AAK1:69480859-69480961	0.025	Modifications
AARS1:70262345-70262484	-0.025	Modifications
AARS1:70262345-70262524	-0.018	Modifications
AASS:122101370-122101438	-0.016	Modifications
ABHD17B:71866798-71867006	0.166	Modifications
ABI1:26759061-26759235	0.053	Modifications
ABI1:26759061-26759238	0.052	Modifications
ABI1:26770244-26770345	0.186	Modifications
ABI2:203394699-203394846	0.018	Modifications
ABLIM1:114453378-114453483	0.043	Modifications
ACACA:37206782-37206879	-0.018	Modifications
ACACA:37284837-37284970	0.05	Modifications
ACAD8:134256547-134256648	-0.035	Modifications
ACAD8:134256547-134256648	-0.094	Modifications
ACADVL:7223132-7223237	0.072	Modifications
ACHE:100892333-100892554	-0.118	Modifications
ACHE:100892333-100892643	-0.118	Modifications
ACHE:100892333-100892818	-0.115	Modifications
ACLY:41896619-41896649	0.084	Modifications
ACOX1:75973624-75973785	0.025	Modifications
ACTG2:73902359-73902488	0.031	Modifications
ACTN4:38710256-38710342	0.239	Modifications
ADAM17:9536697-9536828	-0.035	Modifications
ADAMTS10:8585455-8585660	-0.272	Modifications
ADCY7:50310686-50310880	0.15	Modifications
ADCY9:3974668-3974710	-0.188	Modifications
ADCY9:4007367-4007558	-0.051	Modifications
ADCY9:4007367-4007558	0.045	Modifications
ADD1:2907742-2907844	0.047	Modifications
ADD2:70683590-70683767	-0.058	Modifications
ADD3:110132304-110132400	0.211	Modifications
ADGRA2:37837730-37837939	-0.07	Modifications
ADGRA3:22473771-22473843	-0.04	Modifications
ADGRB3:69062933-69063036	0.135	Modifications
ADGRE5:14397076-14397223	-0.034	Modifications
ADGRE5:14397076-14397223	-0.163	Modifications
ADGRL3:61676825-61676935	0.046	Modifications
AFDN:167898204-167898467	-0.027	Modifications
AFDN:167965756-167966270	0.077	Modifications
AFDN:167965756-167966276	0.102	Modifications
AGAP3:151119986-151120145	0.037	Modifications
AGFG1:227534844-227535025	0.099	Modifications
AGFG2:100553346-100553500	-0.34	Modifications
AGPS:177468415-177468524	-0.014	Modifications
AGTPBP1:85575314-85575475	-0.179	Modifications
AHCTF1:246867243-246867351	0.026	Modifications
AHSA1:77465538-77465667	-0.047	Modifications
AK2:33021592-33021703	0.037	Modifications
AKAP11:42292384-42292501	0.037	Modifications
AKR1A1:45568484-45568684	-0.67	Modifications
AKR7A2:19307001-19307101	-0.075	Modifications
AKT1S1:49872916-49873302	-0.04	Modifications
AKT1S1:49872916-49873302	-0.083	Modifications
AKT1S1:49872916-49873302	-0.248	Modifications
AKT2:40236237-40236385	0.105	Modifications
AKT2:40236256-40236385	0.048	Modifications
ALDH3A1:19744967-19745134	-0.059	Modifications
ALX1:85283571-85283876	0.119	Modifications
AMBN:70596998-70597049	-0.087	Modifications
AMMECR1L:127873827-127874272	0.04	Modifications
AMPD2:109620913-109621266	0.094	Modifications
AMPH:38462974-38463113	0.057	Modifications
ANK2:113373284-113373449	0.045	Modifications
ANKHD1:140496519-140497278	0.06	Modifications
ANKS3:4726978-4727177	-0.578	Modifications
ANKS6:98790103-98790606	-0.184	Modifications
ANPEP:89804945-89805217	-0.229	Modifications
ANPEP:89805077-89805217	-0.191	Modifications
APBA3:3759688-3760301	0.101	Modifications
APC:112754872-112755025	0.031	Modifications
API5:43326506-43326611	0.058	Modifications
APRT:88810422-88810556	0.035	Modifications
ARAP1:72713175-72713243	0.045	Modifications
ARFGAP1:63277204-63277305	-0.033	Modifications
ARHGAP17:24939363-24939597	-0.167	Modifications
ARHGAP17:24939363-24939597	-0.336	Modifications
ARHGEF12:120407737-120407823	-0.042	Modifications
ARHGEF1:41906456-41906620	0.084	Modifications
ARHGEF40:21087000-21087463	0.067	Modifications
ARHGEF40:21087319-21087463	0.08	Modifications
ARHGEF7:111209871-111210002	-0.065	Modifications
ARHGEF7:111209871-111210002	-0.073	Modifications
ARID1A:26762151-26762319	-0.012	Modifications
ARID4A:58360900-58361042	-0.079	Modifications
ARID5B:62050887-62051000	-0.027	Modifications
ARID5B:62057116-62057318	-0.21	Modifications
ARIH1:72518066-72518134	0.031	Modifications
ARL17A:46576174-46576339	-0.068	Modifications
ARMC6:19042710-19042877	0.306	Modifications
ARMC8:138241782-138241983	-0.032	Modifications
ARNT2:80450879-80450994	0.081	Modifications
ARNTL:13354300-13354448	-0.059	Modifications
ARSD:2910658-2910793	-0.383	Modifications
ASAP1:130091972-130092143	0.107	Modifications
ASAP2:9391061-9391196	-0.071	Modifications
ASGR1:7177209-7177326	0.068	Modifications
ASIC3:151051171-151051319	-0.16	Modifications
ASPH:61517527-61517661	-0.021	Modifications
ATF2:175117989-175118118	0.011	Modifications
ATF2:175118250-175118369	0.043	Modifications
ATG13:46644278-46644360	-0.025	Modifications
ATG13:46667772-46667887	-0.029	Modifications
ATG9A:219227921-219228053	-0.199	Modifications
ATG9A:219227921-219228079	-0.374	Modifications
ATL2:38310308-38310447	-0.081	Modifications
ATP11C:139731650-139731755	-0.136	Modifications
ATP5MF-PTCD1:99460085-99460193	-0.229	Modifications
ATP7A:78029249-78029444	0.17	Modifications
ATR:142561242-142561421	-0.086	Modifications
ATRNL1:115171036-115171292	-0.076	Modifications
ATXN1:16326393-16328470	-0.035	Modifications
ATXN2:111510384-111510444	0.362	Modifications
ATXN2:111510384-111510582	0.071	Modifications
ATXN2:111516153-111516363	0.015	Modifications
ATXN2:111555882-111555919	-0.035	Modifications
ATXN2L:28825365-28825402	-0.016	Modifications
B4GALNT1:57631199-57631364	0.101	Modifications
BABAM1:17268755-17269091	-0.217	Modifications
BABAM1:17268793-17269091	-0.062	Modifications
BAG6:31640384-31640528	0.026	Modifications
BAHD1:40461911-40462294	0.023	Modifications
BAHD1:40461914-40462294	0.023	Modifications
BAZ1B:73489193-73489391	-0.038	Modifications
BCAS3:61368326-61368494	-0.128	Modifications
BCKDK:31110687-31110761	-0.014	Modifications
BCL2L11:111123732-111124139	0.052	Modifications
BCL2L12:49667018-49667161	0.234	Modifications
BCL2L12:49667021-49667161	0.261	Modifications
BCL2L13:17655661-17655832	-0.036	Modifications
BCLAF1:136267028-136267175	-0.121	Modifications
BEGAIN:100540495-100540579	0.05	Modifications
BFAR:14655065-14655210	0.011	Modifications
BID:17743802-17744013	0.057	Modifications
BIRC5:78215965-78216781	-0.208	Modifications
BIRC6:32529650-32529824	-0.019	Modifications
BLVRB:40457498-40458244	-0.064	Modifications
BLVRB:40458173-40458244	-0.053	Modifications
BMP6:7845139-7845332	0.019	Modifications
BMP7:57183721-57183919	0.239	Modifications
BNC2:16435554-16437524	0.108	Modifications
BNIP2:59679591-59679768	-0.377	Modifications
BRAF:140734616-140734770	-0.074	Modifications
BRAP:111681636-111681835	0.025	Modifications
BRAP:111683145-111683307	-0.048	Modifications
BRD7:50321981-50322038	-0.025	Modifications
BRIP1:61685835-61686165	0.027	Modifications
BRPF1:9744223-9744508	0.084	Modifications
BRPF1:9744223-9744541	0.118	Modifications
BRPF3:36213879-36214386	0.04	Modifications
BTAF1:91942421-91942568	-0.064	Modifications
BTF3L4:52083339-52083541	0.023	Modifications
BTN2A2:26385014-26385362	0.054	Modifications
BTN2A2:26385142-26385362	0.055	Modifications
C15orf40:82989105-82989157	-0.041	Modifications
C1RL:7099900-7100026	-0.051	Modifications
C2CD2L:119112699-119112874	0.023	Modifications
CAMK2D:113455725-113455821	0.063	Modifications
CAMK2D:113500462-113500508	-0.064	Modifications
CAMK2D:113500462-113500511	-0.021	Modifications
CAMK2G:73819531-73819617	0.125	Modifications
CAMK2G:73819531-73819645	0.131	Modifications
CAMK2G:73825278-73825347	0.198	Modifications
CAMK2G:73828088-73828121	-0.189	Modifications
CAMSAP1:135866455-135866536	-0.056	Modifications
CAPZB:19342751-19342864	0.047	Modifications
CARM1:10921374-10921443	0.056	Modifications
CARMIL1:25606060-25606273	-0.029	Modifications
CASK:41853096-41853227	0.067	Modifications
CASK:41853114-41853227	0.026	Modifications
CASP3:184631036-184631157	0.04	Modifications
CASP6:109696409-109696486	-0.076	Modifications
CASP8:201272897-201272942	0.24	Modifications
CASP8:201272897-201272942	0.494	Modifications
CASP8:201274888-201274953	0.247	Modifications
CASP8:201276826-201276968	0.05	Modifications
CAST:96729611-96729725	0.315	Modifications
CBX1:48075988-48076178	-0.021	Modifications
CBX1:48076000-48076178	-0.013	Modifications
CC2D1A:13918069-13918194	0.018	Modifications
CC2D1B:52357000-52357126	-0.18	Modifications
CC2D1B:52357000-52357174	-0.226	Modifications
CCDC14:123955842-123956795	-0.018	Modifications
CCDC14:123956045-123956115	0.099	Modifications
CCDC18:93183977-93184146	0.159	Modifications
CCDC28B:32204185-32204379	0.196	Modifications
CCDC82:96383961-96384761	0.027	Modifications
CCM2:45068442-45068579	-0.017	Modifications
CCNY:35501500-35501535	-0.022	Modifications
CCNYL1:207726841-207726876	-0.05	Modifications
CCNYL1:207733946-207734047	-0.06	Modifications
CCNYL1:207733946-207734047	-0.405	Modifications
CCZ1:5911860-5911922	-0.024	Modifications
CCZ1B:6812975-6813037	-0.013	Modifications
CD302:159780004-159780178	0.028	Modifications
CD44:35201667-35201787	-0.205	Modifications
CD44:35201667-35201787	0.113	Modifications
CD44:35201670-35201787	-0.236	Modifications
CD44:35201670-35201787	0.106	Modifications
CD44:35211245-35211449	0.036	Modifications
CD44:35211245-35211449	0.062	Modifications
CD44:35211245-35211449	0.068	Modifications
CD44:35211245-35211449	0.072	Modifications
CD46:207767606-207767651	-0.028	Modifications
CD74:150403120-150403312	-0.153	Modifications
CD74:150403120-150403312	-0.763	Modifications
CD74:150403120-150403312	0.023	Modifications
CD74:150403120-150404767	-0.156	Modifications
CD74:150403120-150404767	-0.593	Modifications
CD74:150404679-150404767	-0.035	Modifications
CD74:150404679-150404767	-0.062	Modifications
CD74:150404679-150404767	-0.277	Modifications
CDC25A:48180720-48180840	-0.174	Modifications
CDC25C:138330986-138331214	0.125	Modifications
CDC27:47157229-47157384	0.243	Modifications
CDC42SE2:131385542-131385644	-0.118	Modifications
CDCA2:25503372-25503544	0.032	Modifications
CDCA3:6849322-6849413	0.163	Modifications
CDCA3:6849322-6849429	0.098	Modifications
CDCA3:6850832-6851009	0.019	Modifications
CDCA7L:21911616-21911751	-0.071	Modifications
CDCA7L:21911616-21911754	-0.07	Modifications
CDK16:47224833-47224890	0.073	Modifications
CDK17:96334718-96334865	0.013	Modifications
CDK4:57750922-57751090	-0.323	Modifications
CDK4:57751499-57751736	-0.043	Modifications
CDK4:57751499-57751752	-0.066	Modifications
CDK5:151055531-151055606	-0.27	Modifications
CDK6:92725625-92725793	-0.053	Modifications
CDKL3:134350248-134350427	0.161	Modifications
CDON:126018329-126018473	0.097	Modifications
CDON:126018336-126018473	0.195	Modifications
CDYL:4891712-4892379	-0.059	Modifications
CEACAM1:42518947-42519235	0.233	Modifications
CENPC:67510672-67511025	0.033	Modifications
CENPO:24799674-24799844	-0.039	Modifications
CENPP:92332169-92332351	0.039	Modifications
CEP128:80497468-80497582	0.177	Modifications
CEP164:117382795-117382942	0.273	Modifications
CEP170:243185778-243186072	0.119	Modifications
CEP170:243191017-243191494	0.01	Modifications
CEP20:15873490-15873627	-0.022	Modifications
CEP85:26239761-26239838	-0.075	Modifications
CFAP36:55533872-55533960	-0.034	Modifications
CFAP36:55537482-55537585	-0.168	Modifications
CFHR2:196950851-196951028	0.392	Modifications
CHL1:390700-390816	-0.835	Modifications
CHN1:174808904-174809042	0.007	Modifications
CHN1:174846879-174846957	0.013	Modifications
CHN1:175004893-175005080	0.093	Modifications
CLASRP:45068419-45068480	-0.203	Modifications
CLCF1:67367459-67367626	0.021	Modifications
CLEC18B:74418058-74418298	0.279	Modifications
CLIP1:122278153-122278203	-0.058	Modifications
CLK1:200860124-200860215	-0.525	Modifications
CLK3:74622119-74622216	0.068	Modifications
CLK4:178617343-178617434	-0.374	Modifications
CLN3:28489289-28489386	-0.068	Modifications
CLTCL1:19208153-19208311	-0.526	Modifications
CMIP:81678274-81678628	-0.014	Modifications
