splicing_case	IncLevelDifference	splice_type	transcript_name_meta	exon_number_upstream	upstreamES	upstreamEE	exon_number_eoi	riExonStart_0base	exonStart_0base	riExonEnd	exonEnd	sample	ctrl	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	downstreamES	downstreamEE	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	...37	start	end	exon_number_downstream	is_sequential
SE	-0.045	CLK1 Ex4 high	NF1-201_PC	18	31226434	31226684	19	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	20	TRUE
SE	-0.045	CLK1 Ex4 high	NF1-202_PC	18	31226434	31226684	19	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	20	TRUE
SE	-0.045	CLK1 Ex4 high	NF1-231_PC	19	31226434	31226684	20	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	21	TRUE
SE	-0.045	CLK1 Ex4 high	NF1-219_NMD	18	31226434	31226684	19	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	20	TRUE
SE	-0.045	CLK1 Ex4 high	NF1-216_NMD	16	31226434	31226684	17	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	18	TRUE
SE	-0.045	CLK1 Ex4 high	NF1-205_PC	10	31226434	31226684	11	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	12	TRUE
SE	-0.045	CLK1 Ex4 high	NF1-215_RI	2	31226434	31226684	3	NA	31227217	NA	31227291	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31227522	31227606	NA	NA	NA	NA	NA	NA	416,433,402	10,16,15	497,513,468	1,1,0	223	149	9.68514601851e-10	4.2842325685e-8	0.965,0.948,0.947	0.997,0.997,1.0	NA	31227218	31227291	4	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-201_PC	37	31327498	31327839	38	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	39	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-202_PC	38	31327498	31327839	39	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	40	TRUE
SE	-0.015	CLK1 Ex4 high	NF1-231_PC	39	31327498	31327839	40	NA	31330295	NA	31330498	Treated	Untreated	ENSG00000196712.19	NF1	chr17	+	NA	NA	NA	NA	31334837	31335031	NA	NA	NA	NA	NA	NA	2589,2602,2484	14,41,23	3295,3256,3495	7,10,10	298	149	1.48039113896e-5	2.80302911427e-4	0.989,0.969,0.982	0.996,0.994,0.994	NA	31330296	31330498	41	TRUE
