SpliceID	geneSymbol	dPSI	Preference_psi	Preference_de	z	sample_id
CDK4:57750922-57751090	CDK4	0.323	Inclusion	Down	-3.63544	pHGG
DNMT1:10180777-10180885	DNMT1	0.207	Inclusion	Down	-2.9949785714285713	pHGG
PBRM1:52615350-52615456	PBRM1	0.203	Inclusion	Down	-2.482	pHGG
BCL2L1:31666990-31667147	BCL2L1	0.424	Inclusion	Down	-3.601663333333333	pHGG
EED:86264171-86264263	EED	0.336	Inclusion	Down	-3.13992	pHGG
HDAC2:113962366-113962394	HDAC2	0.158	Inclusion	Down	-2.262094444444444	pHGG
RARA:40342795-40342867	RARA	0.126	Inclusion	Down	-3.4883999999999995	pHGG
SDHC:161323613-161323670	SDHC	0.43	Inclusion	Down	-2.73995	pHGG
SDHC:161326650-161326768	SDHC	0.414	Inclusion	Down	-2.73995	pHGG
SDHC:161328395-161328497	SDHC	0.206	Inclusion	Down	-2.73995	pHGG
EIF3I:32228726-32229208	EIF3I	0.304	Inclusion	Down	-4.6093472222222225	pHGG
EZH2:148816683-148818117	EZH2	0.12	Inclusion	Down	-2.11252	pHGG
EIF3I:32224409-32226530	EIF3I	0.323	Inclusion	Down	-4.6093472222222225	pHGG
EZH2:148846469-148846598	EZH2	0.15	Inclusion	Down	-2.11252	pHGG
FGFR1:38429681-38429948	FGFR1	0.123	Skipping	Down	-3.37081	pHGG
FGFR2:121565437-121565704	FGFR2	0.169	Skipping	Down	-3.0347999999999997	pHGG
DDB1:61324237-61324387	DDB1	0.166	Skipping	Down	-3.47845	pHGG
DNMT1:10180186-10180234	DNMT1	0.11	Skipping	Down	-2.9949785714285713	pHGG
EZH2:148836821-148837000	EZH2	0.134	Skipping	Down	-2.11252	pHGG
EZH2:148836821-148837000	EZH2	0.293	Skipping	Down	-2.11252	pHGG
HDAC2:113968633-113968696	HDAC2	0.126	Skipping	Down	-2.262094444444444	pHGG
NACA:56719725-56721459	NACA	0.126	Skipping	Down	-2.759032142857143	pHGG
EZH2:148816683-148817391	EZH2	0.117	Skipping	Down	-2.11252	pHGG
ETF1:138542633-138542936	ETF1	0.119	Skipping	Down	-3.536691666666667	pHGG
