splicing_case	geneSymbol	PValue	FDR	IncLevelDifference	exonStart_0base	exonEnd	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
SE	ENSG00000271254	6.40168491948e-5	0.0010176433933	0.2	21056	21159	NA	NA	NA	NA	NA	NA	20006	20221	22932	23142	NA	NA	NA	NA	NA	NA
SE	SPRY3	4.18678359008e-4	0.00512573104387	0.125	155656866	155657025	NA	NA	NA	NA	NA	NA	155612587	155612647	155767961	155768136	NA	NA	NA	NA	NA	NA
SE	MECP2	0.00421269944778	0.0360395520344	0.141	154057742	154057842	NA	NA	NA	NA	NA	NA	154056940	154057254	154058398	154058522	NA	NA	NA	NA	NA	NA
SE	HCFC1	0	0	0.115	153958568	153958766	NA	NA	NA	NA	NA	NA	153958024	153958249	153959330	153959491	NA	NA	NA	NA	NA	NA
SE	PLXNB3	8.52278014829e-9	3.26695767569e-7	0.142	153766872	153767913	NA	NA	NA	NA	NA	NA	153765470	153765580	153768248	153768428	NA	NA	NA	NA	NA	NA
SE	GABRE	0	0	0.449	151957282	151957486	NA	NA	NA	NA	NA	NA	151955707	151955860	151959838	151959976	NA	NA	NA	NA	NA	NA
SE	GABRE	0	0	0.17	151958963	151959149	NA	NA	NA	NA	NA	NA	151955707	151955860	151959838	151959976	NA	NA	NA	NA	NA	NA
SE	GABRE	4.8763013516e-8	1.64144865611e-6	0.667	151970184	151970402	NA	NA	NA	NA	NA	NA	151962422	151962643	151974569	151974676	NA	NA	NA	NA	NA	NA
SE	MTMR1	0.00534287244343	0.0440325841659	0.104	150762564	150762737	NA	NA	NA	NA	NA	NA	150755688	150755865	150764511	150765102	NA	NA	NA	NA	NA	NA
SE	MAMLD1	3.45655972379e-4	0.00435067982143	0.387	150473679	150473802	NA	NA	NA	NA	NA	NA	150469744	150471490	150503273	150503517	NA	NA	NA	NA	NA	NA
SE	EOLA1	0.00116352213079	0.0122754216209	0.14	149542018	149542085	NA	NA	NA	NA	NA	NA	149540982	149541292	149545367	149545500	NA	NA	NA	NA	NA	NA
SE	ELF4	0.0022865433071	0.0216361648174	0.201	130081255	130081312	NA	NA	NA	NA	NA	NA	130074580	130074752	130081436	130081539	NA	NA	NA	NA	NA	NA
SE	ELF4	4.57971971502e-4	0.00553237850209	0.107	130081255	130081539	NA	NA	NA	NA	NA	NA	130074580	130074752	130110324	130110497	NA	NA	NA	NA	NA	NA
