SpliceID	dPSI	Uniprot	Type
APOA2:161222917-161223050	0.179	Mod	A3SS
APOA2:161222917-161223266	0.338	Mod	A3SS
APTX:32987543-32987846	-0.106	Mod	A3SS
APTX:32987543-32987846	-0.123	Mod	A3SS
ARL6IP4:122981570-122981879	0.593	Mod	A3SS
ASNS:97854579-97854754	-0.169	Mod	A3SS
BOC:113278094-113278257	-0.122	Mod	A3SS
C2CD2L:119113610-119113712	0.29	Mod	A3SS
CAP1:40059333-40059458	-0.328	Mod	A3SS
CLDND1:98521132-98521442	-0.211	Mod	A3SS
COL9A3:62836186-62836532	0.233	Mod	A3SS
DCLK2:150220702-150220778	-0.24	Mod	A3SS
DDX5:64500548-64500882	-0.119	Mod	A3SS
DMTN:22069015-22069518	0.102	Mod	A3SS
DNAJC11:6652828-6653387	0.115	Mod	A3SS
EEF1D:143586728-143586852	0.223	Mod	A3SS
ERCC6L2:95970575-95973088	-0.175	Mod	A3SS
FBXW5:136942768-136943003	-0.128	Mod	A3SS
FLYWCH1:2930409-2930880	-0.141	Mod	A3SS
GFAP:44904441-44905149	0.341	Mod	A3SS
GGCX:85551811-85552567	-0.124	Mod	A3SS
GGN:38385420-38387280	-0.111	Mod	A3SS
GHDC:42190184-42190359	0.135	Mod	A3SS
HNRNPA2B1:26193250-26193694	-0.269	Mod	A3SS
HSP90B1:103932278-103932418	-0.149	Mod	A3SS
KAT6B:74981786-74985241	0.162	Mod	A3SS
KRT8:52904657-52905079	-0.209	Mod	A3SS
LIME1:63738007-63738499	0.186	Mod	A3SS
LMNA:156114669-156115274	0.137	Mod	A3SS
LMNA:156114669-156115274	-0.275	Mod	A3SS
LRCH4:100577085-100577389	0.107	Mod	A3SS
LRP8:53255116-53257464	0.462	Mod	A3SS
MAP7:136372500-136372649	-0.714	Mod	A3SS
MARF1:15622933-15623126	0.439	Mod	A3SS
MOB1A:74172585-74172752	0.123	Mod	A3SS
NAGPA:5027134-5027379	0.132	Mod	A3SS
NFATC2:51523080-51524110	-0.211	Mod	A3SS
NFRKB:129884744-129884882	0.146	Mod	A3SS
NPM1:171406396-171407774	0.178	Mod	A3SS
NUSAP1:41350987-41351129	-0.107	Mod	A3SS
NUSAP1:41350990-41351129	-0.156	Mod	A3SS
P4HTM:49004860-49005867	-0.17	Mod	A3SS
PABPC4:39563613-39563922	-0.22	Mod	A3SS
PAM16:4341367-4341672	-0.152	Mod	A3SS
PFDN6:33289769-33289920	-0.109	Mod	A3SS
PHF8:54042630-54042836	-0.138	Mod	A3SS
PITPNM3:6471160-6471355	-0.259	Mod	A3SS
PKD1:2105321-2105707	0.192	Mod	A3SS
PPARGC1A:23824279-23824384	0.112	Mod	A3SS
PRXL2B:2588335-2588453	-0.165	Mod	A3SS
PXN:120215102-120215417	0.174	Mod	A3SS
RACK1:181236936-181237319	0.106	Mod	A3SS
RHBDF1:59731-60098	0.116	Mod	A3SS
RNF8:37368377-37369218	-0.372	Mod	A3SS
ROBO1:78635772-78636108	0.194	Mod	A3SS
SAAL1:18083534-18083731	0.296	Mod	A3SS
SCG5:32684556-32684669	-0.126	Mod	A3SS
SCYL1:65538269-65538704	0.169	Mod	A3SS
SIK3:116857809-116858699	0.125	Mod	A3SS
SRA1:140551060-140552184	-0.138	Mod	A3SS
SREK1:66164607-66164897	0.157	Mod	A3SS
