Parent=ENST00000000233.10	gene_name=ARF5
Parent=ENST00000000412.8	gene_name=M6PR
Parent=ENST00000000442.11	gene_name=ESRRA
Parent=ENST00000001008.6	gene_name=FKBP4
Parent=ENST00000001146.7	gene_name=CYP26B1
Parent=ENST00000002125.9	gene_name=NDUFAF7
Parent=ENST00000002165.11	gene_name=FUCA2
Parent=ENST00000002501.11	gene_name=DBNDD1
Parent=ENST00000002596.6	gene_name=HS3ST1
Parent=ENST00000002829.8	gene_name=SEMA3F
Parent=ENST00000003084.11	gene_name=CFTR
Parent=ENST00000003100.13	gene_name=CYP51A1
Parent=ENST00000003302.8	gene_name=USP28
Parent=ENST00000003583.12	gene_name=STPG1
Parent=ENST00000003912.7	gene_name=NIPAL3
Parent=ENST00000004103.8	gene_name=TMEM176A
Parent=ENST00000004531.14	gene_name=SLC7A2
Parent=ENST00000004982.6	gene_name=HSPB6
Parent=ENST00000005082.13	gene_name=ZNF195
Parent=ENST00000005178.6	gene_name=PDK4
Parent=ENST00000005180.9	gene_name=CCL26
Parent=ENST00000005226.12	gene_name=USH1C
Parent=ENST00000005257.7	gene_name=RALA
Parent=ENST00000005259.9	gene_name=BCAP29
Parent=ENST00000005260.9	gene_name=BAIAP2L1
Parent=ENST00000005284.4	gene_name=CACNG3
Parent=ENST00000005286.8	gene_name=TMEM132A
Parent=ENST00000005340.10	gene_name=DVL2
Parent=ENST00000005374.10	gene_name=GGCT
Parent=ENST00000005386.8	gene_name=RPAP3
Parent=ENST00000005558.8	gene_name=IFRD1
Parent=ENST00000005756.5	gene_name=UPP2
Parent=ENST00000005995.8	gene_name=PRSS21
Parent=ENST00000006015.4	gene_name=HOXA11
Parent=ENST00000006053.7	gene_name=CX3CL1
Parent=ENST00000006251.11	gene_name=PRR5
Parent=ENST00000006275.8	gene_name=TRAPPC6A
Parent=ENST00000006658.11	gene_name=SPATA20
Parent=ENST00000006724.7	gene_name=CEACAM7
Parent=ENST00000006750.8	gene_name=CD79B
Parent=ENST00000006777.11	gene_name=RHBDD2
Parent=ENST00000007264.7	gene_name=RPUSD1
Parent=ENST00000007390.3	gene_name=TSR3
Parent=ENST00000007414.8	gene_name=OSBPL7
Parent=ENST00000007510.9	gene_name=ARHGAP33
Parent=ENST00000007516.8	gene_name=NDUFAB1
