splice_id	gene	histology
IDNK:83628007-83628211_83623048-83623221_83628872-83628959	IDNK	ATRT
TRIM46:155178809-155178846_155178491-155178613_155179631-155179934	TRIM46	ATRT
ZNF681:23754823-23754897_23744963-23745323_23758746-23758837	ZNF681	ATRT
ZNF681:23754823-23754918_23739194-23745323_23758746-23758840	ZNF681	ATRT
FBRSL1:132571307-132571524_132571151-132571231_132572287-132572338	FBRSL1	ATRT
CBR4:169008952-169009054_169007640-169007756_169009947-169010275	CBR4	ATRT
LINC01138:148436444-148436564_148435145-148435354_148459601-148459959	LINC01138	ATRT
CHN1:174940816-174940894_174918533-174918565_174944887-174944943	CHN1	ATRT
FZD3:28499933-28499978_28494211-28494343_28502669-28503202	FZD3	ATRT
RBMS2:56580278-56580375_56571697-56571855_56581183-56581263	RBMS2	ATRT
RPL23AP53:230804-230907_219289-219417_232128-232231	RPL23AP53	ATRT
GANC:42280917-42281133_42278481-42278590_42287690-42287818	GANC	ATRT
MYO15B:75613981-75614033_75613704-75613777_75614198-75614360	MYO15B	ATRT
MATR3:139293453-139293575_139279050-139279129_139307238-139308327	MATR3	ATRT
MIOS:7582630-7582819_7574097-7574196_7583117-7583372	MIOS	ATRT
SIRT1:67906163-67906287_67891483-67891554_67906789-67906937	SIRT1	ATRT
TMEM263:106959288-106959385_106957081-106957149_106967110-106967180	TMEM263	ATRT
KLHL42:27797247-27797349_27791707-27791901_27797714-27798156	KLHL42	ATRT
VSIG10:118135639-118135742_118126480-118126670_118135856-118135948	VSIG10	ATRT
NSRP1:30156540-30156662_30118079-30118173_30172541-30172598	NSRP1	ATRT
CARF:202913034-202913114_202912217-202912324_202917876-202918043	CARF	ATRT
ZHX3:41213734-41213899_41202056-41205066_41268989-41269083	ZHX3	ATRT
ZNF680:64560946-64561273_64544345-64544432_64562924-64563075	ZNF680	ATRT
SBF2-AS1:9780376-9780575_9758295-9758503_9807847-9808038	AS1	ATRT
MVK:109579165-109579282_109575997-109576145_109579801-109579946	MVK	ATRT
ADNP:50904766-50904849_50903888-50904001_50928650-50928825	ADNP	ATRT
PPIL3:200877497-200877604_200876941-200877037_200881420-200881488	PPIL3	ATRT
PRKAB1:119671495-119671668_119668149-119668403_119672300-119672427	PRKAB1	ATRT
ZNF83:52616718-52616815_52614617-52614797_52618935-52619062	ZNF83	ATRT
ZNF83:52616718-52616841_52612397-52614797_52618935-52619062	ZNF83	ATRT
ZNF83:52616718-52616875_52614664-52614797_52618935-52619062	ZNF83	ATRT
PDGFRA:54240038-54240115_54229292-54229415_54258756-54258817	PDGFRA	ATRT
ZNF788P:12110634-12110694_12110304-12110431_12111245-12113048	ZNF788P	ATRT
CYB5R2:7665827-7665939_7665099-7665546_7666450-7666550	CYB5R2	ATRT
DENND10:119104764-119105022_119104091-119104197_119107967-119108164	DENND10	ATRT
LINC01184:128081973-128082194_128061143-128061244_128082734-128082960	LINC01184	ATRT
MDM1:68325441-68325575_68323072-68323240_68326656-68327021	MDM1	ATRT
SUOX:55999333-55999590_55997614-55997723_56002211-56002271	SUOX	ATRT
COX4I1:85804540-85804661_85801204-85801278_85804936-85805096	COX4I1	ATRT
ANO10:43551472-43551588_43549719-43549848_43555277-43555411	ANO10	ATRT
PACRG:163312779-163312895_163089258-163089408_163314826-163315491	PACRG	ATRT
SIL1:139196441-139196528_139127738-139127853_139198268-139198297	SIL1	ATRT
DLG1:197076586-197076685_197075836-197075870_197081050-197081117	DLG1	ATRT
MPHOSPH9:123203250-123203375_123202623-123203084_123210055-123210162	MPHOSPH9	ATRT
FGFR1:38429247-38429390_38428345-38428435_38457355-38457446	FGFR1	ATRT
SRSF4:29159864-29160058_29159373-29159486_29160374-29160517	SRSF4	ATRT
COG4:70515868-70516040_70514334-70514509_70517625-70517740	COG4	ATRT
SIPA1L1:71418130-71418196_71413947-71414014_71512742-71512845	SIPA1L1	ATRT
