Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	hHistology
TNFRSF1B	12188796-12188895	12166990-12167169	12190956-12191085	Atypical Teratoid Rhabdoid Tumor
CCDC7	32471064-32471230	32463016-32463049	32472480-32472542	Atypical Teratoid Rhabdoid Tumor
WASHC4	105111125-105111264	105107713-105107861	105114215-105114269	Atypical Teratoid Rhabdoid Tumor
ERO1A	52661293-52661304	52658123-52658150	52663800-52663847	Atypical Teratoid Rhabdoid Tumor
PABPC1L	44938674-44938748	44938044-44938191	44939125-44939184	Atypical Teratoid Rhabdoid Tumor
ENSG00000284952	155842432-155842997	155833856-155834041	155853222-155854442	Atypical Teratoid Rhabdoid Tumor
MRTO4	19254782-19254840	19251804-19251863	19255947-19256051	Atypical Teratoid Rhabdoid Tumor
SMOX	4182089-4182323	4181802-4181976	4182482-4182848	Atypical Teratoid Rhabdoid Tumor
SLC30A9	42075657-42075786	42070525-42070691	42078211-42078325	Atypical Teratoid Rhabdoid Tumor
HDAC11	13496736-13496852	13483463-13483564	13500712-13500789	Atypical Teratoid Rhabdoid Tumor
RPS6KC1	213232123-213232255	213176399-213176492	213240701-213242297	Atypical Teratoid Rhabdoid Tumor
GTF2A2	59652206-59652326	59650668-59650773	59657405-59657515	Atypical Teratoid Rhabdoid Tumor
XPO1	61501996-61502040	61499712-61499894	61522610-61522683	Atypical Teratoid Rhabdoid Tumor
PIWIL2	22354271-22354378	22352798-22353212	22355348-22355516	Atypical Teratoid Rhabdoid Tumor
TFCP2	51101935-51102025	51099654-51099779	51106524-51106613	Atypical Teratoid Rhabdoid Tumor
WSCD1	6109607-6109766	6095101-6095223	6117987-6118188	Atypical Teratoid Rhabdoid Tumor
CYBC1	82449170-82449292	82446622-82446696	82450699-82450717	Atypical Teratoid Rhabdoid Tumor
DBR1	138163778-138163858	138163348-138163494	138167080-138167305	Atypical Teratoid Rhabdoid Tumor
RELB	45009814-45009822	45002948-45002996	45011935-45012229	Atypical Teratoid Rhabdoid Tumor
PLCH1	155504555-155504626	155500702-155500794	155514722-155514884	Atypical Teratoid Rhabdoid Tumor
CLK2	155266729-155266895	155264644-155264774	155268009-155268126	Atypical Teratoid Rhabdoid Tumor
