splice_id	gene	histology
CNN2:1036067-1036246_1032558-1032696_1036415-1036562	CNN2	ATRT
CARD8:48221730-48221855_48215137-48215384_48230437-48230647	CARD8	ATRT
CCNYL1:207740655-207740706_207737410-207737446_207742222-207742342	CCNYL1	ATRT
BECN1:42811655-42811797_42810133-42810928_42813947-42814008	BECN1	ATRT
PDPR:70131302-70131419_70130422-70130544_70132150-70132300	PDPR	ATRT
ME2:50939570-50939640_50932257-50932360_50940287-50940386	ME2	ATRT
FBRS:30661180-30661215_30660262-30660442_30662419-30662468	FBRS	ATRT
TOGARAM1:45008913-45009145_45006007-45006267_45011974-45012075	TOGARAM1	ATRT
HMGCS1:43298009-43298134_43297001-43297166_43298517-43298975	HMGCS1	ATRT
PPIEL:39556599-39556738_39554348-39554392_39559215-39559356	PPIEL	ATRT
RAPGEF6:131450023-131450046_131446482-131446703_131453053-131453177	RAPGEF6	ATRT
ADGRL1:14167016-14167030_14164620-14164705_14170681-14170734	ADGRL1	ATRT
FSD1L:105479354-105479376_105471903-105472005_105484380-105484502	FSD1L	ATRT
FANCE:35457916-35457984_35457555-35457600_35458296-35458440	FANCE	ATRT
SENP7:101398861-101399055_101372007-101372126_101417592-101417790	SENP7	ATRT
SLMAP:57871636-57871698_57864547-57864716_57890040-57890100	SLMAP	ATRT
NBEA:35168987-35168995_35164355-35164509_35171271-35171452	NBEA	ATRT
WNK2:93299070-93299261_93297852-93298067_93308327-93308584	WNK2	ATRT
PQBP1:48902233-48902384_48901929-48902042_48902731-48902795	PQBP1	ATRT
AP2M1:184178857-184179191_184176950-184177067_184180168-184180251	AP2M1	ATRT
ARL2:65020419-65020499_65018570-65018733_65021720-65021888	ARL2	ATRT
NDRG4:58500988-58501077_58500089-58500269_58503743-58503903	NDRG4	ATRT
CCDC28B:32204186-32204379_32201912-32204045_32204597-32204620	CCDC28B	ATRT
AGBL5:27069048-27069094_27068631-27068744_27069572-27069706	AGBL5	ATRT
TTC7B:90730075-90730196_90695499-90695578_90744791-90744922	TTC7B	ATRT
DTX3:57605571-57605731_57604823-57604858_57605988-57606252	DTX3	ATRT
MICU3:17069688-17069719_17064083-17064237_17077782-17077861	MICU3	ATRT
SLC4A7:27409356-27409530_27404829-27404963_27411641-27411748	SLC4A7	ATRT
ZNF568:36922586-36922846_36917578-36917648_36925199-36925258	ZNF568	ATRT
ADGRB2:31735183-31735281_31732971-31733143_31735579-31735665	ADGRB2	ATRT
BRPF1:9744224-9744541_9743580-9743901_9745007-9745155	BRPF1	ATRT
PTAR1:69723326-69723630_69709521-69718684_69732138-69732352	PTAR1	ATRT
ENSG00000287908:57616784-57617288_57616382-57616495_57619310-57619379	ENSG00000287908	ATRT
OPA1:193617178-193617285_193615673-193615770_193618868-193618936	OPA1	ATRT
NDUFAF2:61098992-61099032_61073124-61073214_61152703-61152995	NDUFAF2	ATRT
MARCHF2:8430658-8430867_8426608-8426804_8438387-8439017	MARCHF2	ATRT
GSDME:24749564-24749793_24744561-24744754_24757395-24757464	GSDME	ATRT
PEAK1:77284958-77285078_77252366-77252526_77286422-77286504	PEAK1	ATRT
SPATA6:48451552-48451600_48413109-48413151_48452993-48453131	SPATA6	ATRT
AMDHD2:2527561-2527615_2520768-2521123_2527772-2527985	AMDHD2	ATRT
UFD1:19471687-19471808_19467402-19468003_19479082-19479144	UFD1	ATRT
ITGA9-AS1:37818680-37818930_37808495-37808880_37821013-37821100	AS1	ATRT
PTPRA:2947982-2948024_2923206-2923285_2964271-2964350	PTPRA	ATRT
RBMS3:29899705-29899755_29897378-29897475_29936085-29936196	RBMS3	ATRT
PAM:103028182-103028238_103019789-103019843_103028886-103029192	PAM	ATRT
LGALS9:27645314-27645349_27642237-27642348_27645860-27645899	LGALS9	ATRT
SRPK1:35870281-35870494_35869481-35869901_35870933-35870959	SRPK1	ATRT
EPDR1:37948840-37949048_37920639-37921208_37950199-37950412	EPDR1	ATRT
RBM23:22908333-22908380_22906027-22906368_22918998-22919129	RBM23	ATRT
BMPR1A:86838865-86838979_86756600-86756919_86875866-86876085	BMPR1A	ATRT
EWSR1:29297827-29297949_29295525-29296368_29298732-29298895	EWSR1	ATRT
TTYH1:54429882-54429957_54429306-54429379_54430812-54430905	TTYH1	ATRT
MEGF8:42371350-42371482_42370700-42370831_42375506-42378765	MEGF8	ATRT
TMEM30A:75267641-75267748_75265230-75265338_75284401-75284763	TMEM30A	ATRT
GBA2:35741672-35741890_35740824-35741064_35744296-35744412	GBA2	ATRT
EFHD2:15427150-15427284_15425870-15426018_15428592-15430339	EFHD2	ATRT
ZNF680:64543707-64543802_64519877-64522500_64562924-64563022	ZNF680	ATRT
ACTR10:58219694-58219729_58215204-58215284_58223621-58223701	ACTR10	ATRT
PFDN5:53296219-53296275_53295838-53295941_53297849-53297924	PFDN5	ATRT
ARHGAP9:57473603-57473708_57472263-57472688_57474041-57474176	ARHGAP9	ATRT
SH2B1:28871780-28871983_28869207-28869383_28872189-28872401	SH2B1	ATRT
BTRC:101461964-101462058_101430344-101430452_101479367-101479457	BTRC	ATRT
ZNF260:36525155-36525373_36510686-36515699_36528218-36528268	ZNF260	ATRT
ZNF75A:3308313-3308836_3305405-3305643_3311752-3311948	ZNF75A	ATRT
SPATA20:50547720-50547767_50547152-50547285_50548282-50548453	SPATA20	ATRT
MAP2:209696542-209696748_209692624-209696350_209700276-209700338	MAP2	ATRT
CD74:150403121-150403312_150402562-150402625_150404679-150404767	CD74	ATRT
MFSD14B:94456240-94456337_94453957-94454070_94458321-94458464	MFSD14B	ATRT
PKP4:158577271-158577383_158533179-158533316_158603069-158603104	PKP4	ATRT
APTX:32988083-32988129_32987543-32987731_32989758-32989895	APTX	ATRT
DDX6:118765209-118765355_118763211-118763306_118768222-118768352	DDX6	ATRT
MRI1:13765954-13766129_13764870-13765109_13768358-13768557	MRI1	ATRT
ZNF252P:144996507-144996607_144994478-144994592_144999602-144999769	ZNF252P	ATRT
POT1:124829254-124829342_124827200-124827305_124835278-124835414	POT1	ATRT
CROCC:16969116-16969340_16968202-16968418_16970252-16970453	CROCC	ATRT
DISP1:222899781-222899865_222815046-222815171_222942806-222943332	DISP1	ATRT
PMVK:154932352-154932415_154929023-154929176_154936590-154936719	PMVK	ATRT
