Gene	Exon_coord	Upstream_exon_coord	Downstream_exon_coord	Histology
RAD52	936807-936882	932974-933076	949601-949641	Atypical Teratoid Rhabdoid Tumor
MMAB	109567011-109567167	109565118-109565176	109568769-109568863	Atypical Teratoid Rhabdoid Tumor
ABCB8	151033443-151033604	151028449-151028610	151034272-151034428	Atypical Teratoid Rhabdoid Tumor
PITRM1	3143606-3143731	3143388-3143501	3144291-3144366	Atypical Teratoid Rhabdoid Tumor
MIR100HG	122202764-122203580	122180335-122180398	122292283-122292403	Atypical Teratoid Rhabdoid Tumor
AP3B2	82665247-82665303	82664834-82664943	82665456-82665575	Atypical Teratoid Rhabdoid Tumor
DCN	91158296-91158509	91153095-91153189	91178341-91178585	Atypical Teratoid Rhabdoid Tumor
CCDC153	119193151-119193243	119190709-119190840	119194922-119194994	Atypical Teratoid Rhabdoid Tumor
LINC02609	90837550-90837765	90829592-90832196	90851482-90851647	Atypical Teratoid Rhabdoid Tumor
ZNF304	57352655-57352735	57351325-57351697	57353724-57353851	Atypical Teratoid Rhabdoid Tumor
SLC25A25	128099275-128099385	128098536-128098725	128101095-128101222	Atypical Teratoid Rhabdoid Tumor
RMND5B	178133452-178133569	178131236-178131376	178138107-178138258	Atypical Teratoid Rhabdoid Tumor
CYB5R2	7665827-7665939	7665099-7665546	7667727-7667760	Atypical Teratoid Rhabdoid Tumor
UQCR11	1602294-1602426	1599411-1599560	1605359-1605443	Atypical Teratoid Rhabdoid Tumor
TFPI	187513616-187513646	187503647-187503770	187529363-187529485	Atypical Teratoid Rhabdoid Tumor
GTF2H2C	69562673-69562770	69560190-69560403	69565099-69565133	Atypical Teratoid Rhabdoid Tumor
PSME3IP1	57178806-57178852	57173727-57173869	57185820-57186031	Atypical Teratoid Rhabdoid Tumor
GSG1	13089208-13089276	13088737-13088909	13090502-13090818	Atypical Teratoid Rhabdoid Tumor
CENPJ	24886235-24886385	24885605-24885670	24889315-24889355	Atypical Teratoid Rhabdoid Tumor
ZNF215	6943083-6943215	6941570-6941653	6943545-6943641	Atypical Teratoid Rhabdoid Tumor
WDR62	36075055-36075161	36073341-36073531	36081432-36081570	Atypical Teratoid Rhabdoid Tumor
ZBED3-AS1	77098655-77098747	77087001-77087619	77118319-77118521	Atypical Teratoid Rhabdoid Tumor
ZBED3-AS1	77089346-77089403	77087001-77087619	77098654-77098669	Atypical Teratoid Rhabdoid Tumor
CASC15	21680920-21681015	21668646-21668899	21742916-21743042	Atypical Teratoid Rhabdoid Tumor
DISP1	222872271-222872432	222823883-222823945	222942806-222943332	Atypical Teratoid Rhabdoid Tumor
SEMA4F	74673457-74673576	74657564-74657624	74674497-74674676	Atypical Teratoid Rhabdoid Tumor
ATP7B	51961837-51961913	51958310-51958544	51964871-51964876	Atypical Teratoid Rhabdoid Tumor
OTX2-AS1	56898268-56898345	56813182-56813469	56951376-56951521	Atypical Teratoid Rhabdoid Tumor
MIR100HG	122038027-122038243	122028330-122028845	122064179-122064271	Atypical Teratoid Rhabdoid Tumor
MIR100HG	122038027-122038243	122033313-122033462	122064179-122064271	Atypical Teratoid Rhabdoid Tumor
LINC01141	20377381-20377509	20372949-20373738	20405574-20405694	Atypical Teratoid Rhabdoid Tumor
ENSG00000225889	64229171-64229288	64228452-64228522	64229496-64229640	Atypical Teratoid Rhabdoid Tumor
ENSG00000225096	57971595-57971656	57961724-57962248	58027671-58027723	Atypical Teratoid Rhabdoid Tumor
CEP63	134488019-134488090	134486189-134486556	134495295-134495364	Atypical Teratoid Rhabdoid Tumor
DRAM2	111122616-111122643	111120515-111120693	111126226-111126294	Atypical Teratoid Rhabdoid Tumor
GSDMB	39906961-39906987	39906110-39906271	39909755-39909924	Atypical Teratoid Rhabdoid Tumor
HAUS1	46119926-46120060	46105193-46105368	46123298-46123364	Atypical Teratoid Rhabdoid Tumor
ADGRL2	81987289-81987341	81986900-81987029	81990390-81991794	Atypical Teratoid Rhabdoid Tumor
SRP54-AS1	34971942-34972064	34969169-34969307	34982429-34982584	Atypical Teratoid Rhabdoid Tumor
SRP54-AS1	34971942-34972213	34969169-34969307	34982429-34982492	Atypical Teratoid Rhabdoid Tumor
TCTN1	110616748-110616904	110614112-110614402	110619835-110619956	Atypical Teratoid Rhabdoid Tumor
COL12A1	75175038-75175310	75165506-75165779	75177662-75177935	Atypical Teratoid Rhabdoid Tumor
MIR7-3HG	4770088-4770221	4769629-4769757	4772163-4772537	Atypical Teratoid Rhabdoid Tumor
GPNMB	23247741-23247993	23246765-23246927	23253306-23253367	Atypical Teratoid Rhabdoid Tumor
DHRS4	23966283-23966417	23959901-23960003	23967210-23967266	Atypical Teratoid Rhabdoid Tumor
WWC1	168412005-168412129	168409921-168409995	168414347-168414590	Atypical Teratoid Rhabdoid Tumor
TUBD1	59886083-59886230	59878300-59878334	59892696-59892893	Atypical Teratoid Rhabdoid Tumor
PLAGL1	143985135-143985174	143968906-143968978	144064467-144064598	Atypical Teratoid Rhabdoid Tumor
HDLBP	241268829-241268953	241268476-241268541	241315101-241315203	Atypical Teratoid Rhabdoid Tumor
BCORL1	130024990-130025379	130022896-130022977	130028634-130028861	Atypical Teratoid Rhabdoid Tumor
YIPF6	68510679-68510776	68499050-68499123	68511848-68511977	Atypical Teratoid Rhabdoid Tumor
CCDC18-AS1	93315149-93315269	93305387-93305470	93324634-93324691	Atypical Teratoid Rhabdoid Tumor
DDX23	48835120-48835214	48834319-48834497	48836120-48836266	Atypical Teratoid Rhabdoid Tumor
TCTN2	123700037-123700154	123699703-123699810	123704531-123704688	Atypical Teratoid Rhabdoid Tumor
SYCP2	59868413-59868568	59867710-59867847	59868834-59868925	Atypical Teratoid Rhabdoid Tumor
BMS1P4-AGAP5	73722389-73722577	73721361-73721504	73725960-73726040	Atypical Teratoid Rhabdoid Tumor
CHCHD6	126780340-126780430	126733077-126733222	126852643-126852730	Atypical Teratoid Rhabdoid Tumor
ACER3	76957465-76957586	76926556-76926667	76958978-76959031	Atypical Teratoid Rhabdoid Tumor
TRAPPC12	3421700-3421786	3401776-3401893	3421880-3421970	Atypical Teratoid Rhabdoid Tumor
ENSG00000233967	80454110-80454227	80453156-80453261	80462871-80463063	Atypical Teratoid Rhabdoid Tumor
IFT27	36760844-36760919	36758210-36758409	36762903-36763013	Atypical Teratoid Rhabdoid Tumor
SHROOM3	76628866-76628983	76555613-76555763	76710155-76710287	Atypical Teratoid Rhabdoid Tumor
PARPBP	102195312-102195447	102182548-102182627	102195950-102196429	Atypical Teratoid Rhabdoid Tumor
AKT2	40269423-40269540	40265221-40265351	40270497-40270769	Atypical Teratoid Rhabdoid Tumor
ENSG00000230606	97423789-97423918	97423176-97423272	97425877-97426072	Atypical Teratoid Rhabdoid Tumor
ENSG00000230606	97423802-97423918	97423176-97423272	97425877-97426058	Atypical Teratoid Rhabdoid Tumor
GAB1	143417433-143417550	143415508-143415771	143433490-143433680	Atypical Teratoid Rhabdoid Tumor
MRPL47	179602652-179602797	179601729-179601790	179604526-179604638	Atypical Teratoid Rhabdoid Tumor
SORBS2	185690562-185690611	185678795-185678822	185775230-185775366	Atypical Teratoid Rhabdoid Tumor
TMBIM1	218284039-218284136	218281939-218282181	218285762-218285938	Atypical Teratoid Rhabdoid Tumor
ZBED3-AS1	77089346-77089403	77088274-77088472	77118319-77118521	Atypical Teratoid Rhabdoid Tumor
VIT	36781727-36781771	36775001-36775067	36783339-36783402	Atypical Teratoid Rhabdoid Tumor
IMMP1L	31469758-31469797	31463171-31463305	31473723-31473786	Atypical Teratoid Rhabdoid Tumor
IMMP1L	31473724-31473786	31469739-31469797	31509518-31509594	Atypical Teratoid Rhabdoid Tumor
VTI1A	112448382-112448489	112446997-112447467	112448881-112450726	Atypical Teratoid Rhabdoid Tumor
IDI1	1043999-1044171	1043300-1043393	1048863-1049119	Atypical Teratoid Rhabdoid Tumor
DISP1	222928430-222928570	222815038-222815078	222942806-222943332	Atypical Teratoid Rhabdoid Tumor
CLUL1	613159-613281	606977-607099	617987-618106	Atypical Teratoid Rhabdoid Tumor
CSNK1D	82272070-82272316	82265685-82265796	82273305-82273700	Atypical Teratoid Rhabdoid Tumor
AOPEP	95085930-95086119	95080693-95080780	95086681-95086841	Atypical Teratoid Rhabdoid Tumor
SNAP47	227739206-227739302	227735427-227735499	227747691-227748233	Atypical Teratoid Rhabdoid Tumor
FAM228B	24087266-24087384	24080875-24080955	24095140-24097468	Atypical Teratoid Rhabdoid Tumor
SIRT2	38890565-38890662	38890102-38890144	38893413-38893527	Atypical Teratoid Rhabdoid Tumor
TAF6	100116514-100116612	100114053-100114268	100119203-100119352	Atypical Teratoid Rhabdoid Tumor
IFTAP	36633284-36633438	36594498-36594641	36648015-36648155	Atypical Teratoid Rhabdoid Tumor
TATDN1	124503840-124503951	124495471-124495542	124504274-124504347	Atypical Teratoid Rhabdoid Tumor
IMMP2L	111391838-111392019	110963499-110963565	111392801-111392915	Atypical Teratoid Rhabdoid Tumor
HMCN1	186178416-186178766	186174513-186174642	186182167-186182287	Atypical Teratoid Rhabdoid Tumor
TRIM16L	18699360-18699457	18699153-18699275	18701356-18701445	Atypical Teratoid Rhabdoid Tumor
EIF2D	206604609-206604729	206603082-206603204	206605399-206605507	Atypical Teratoid Rhabdoid Tumor
ABHD5	43694903-43695153	43690968-43691039	43699275-43699361	Atypical Teratoid Rhabdoid Tumor
HARS2	140693491-140693508	140691457-140691756	140693590-140693665	Atypical Teratoid Rhabdoid Tumor
LINC02232	65008782-65008912	65004402-65004501	65024236-65024281	Atypical Teratoid Rhabdoid Tumor
ZNF826P	20406009-20406132	20398657-20399038	20408949-20409045	Atypical Teratoid Rhabdoid Tumor
TAF6	100116514-100116612	100114053-100114268	100118517-100118649	Atypical Teratoid Rhabdoid Tumor
LINC01224	23402177-23402512	23399469-23401047	23403205-23403493	Atypical Teratoid Rhabdoid Tumor
